longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-96.56215567821766,39.10141852951247,2017-01-01,1047.0,2018.0,505.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-02,1054.0,2022.0,510.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-03,1054.0,2024.0,511.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-04,1070.0,2038.0,525.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-05,1064.0,2047.0,516.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-06,1060.0,2042.0,505.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-07,1034.0,1997.0,513.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-08,1041.0,2036.0,517.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-09,1058.0,2061.0,521.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-10,1055.0,2052.0,544.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-11,1046.0,2030.0,533.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-12,1047.0,2031.0,533.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-13,1036.0,2005.0,532.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-14,1040.0,2005.0,526.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-15,989.0,1824.0,526.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-16,1010.0,1858.0,517.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-17,1013.0,1856.0,527.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-18,1014.0,1857.0,527.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-19,1008.0,1851.0,500.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-20,1002.0,1837.0,502.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-21,1004.0,1839.0,502.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-22,1018.0,1859.0,512.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-23,1020.0,1862.0,512.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-24,1021.0,1864.0,514.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-25,1023.0,1867.0,515.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-26,1024.0,1869.0,516.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-27,1048.0,1879.0,542.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-28,1052.0,1883.0,544.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-29,1048.0,1877.0,543.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-30,1052.0,1875.0,551.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-01-31,1062.0,1893.0,553.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-02-01,1053.0,1870.0,562.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-02-02,1045.0,1862.0,554.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-02-03,1010.0,1780.0,538.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-02-04,1009.0,1778.0,538.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-02-05,1016.0,1784.0,543.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-02-06,1016.0,1782.0,543.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-02-07,1021.0,1790.0,546.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-02-08,1054.0,1843.0,551.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-02-09,1056.0,1843.0,553.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-02-10,1064.0,1868.0,554.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-02-11,1074.0,1890.0,557.0,MODIS/006/MCD43A4
-96.56215567821766,39.10141852951247,2017-02-12,1070.0,1891.0,546.0,MODIS/006/MCD43A4
