longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-87.39484820377795,32.95245040971435,2016-01-01,306.0,1591.0,140.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-02,307.0,1592.0,140.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-03,307.0,1593.0,140.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-04,313.0,1589.0,145.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-05,309.0,1593.0,142.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-06,309.0,1594.0,142.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-07,310.0,1592.0,143.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-08,310.0,1593.0,143.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-09,317.0,1605.0,146.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-10,312.0,1598.0,149.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-11,312.0,1600.0,149.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-12,312.0,1601.0,149.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-13,311.0,1597.0,149.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-14,313.0,1598.0,151.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-15,314.0,1611.0,155.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-16,319.0,1622.0,158.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-17,315.0,1610.0,154.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-18,323.0,1537.0,162.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-19,324.0,1535.0,163.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-20,329.0,1567.0,167.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-21,339.0,1567.0,170.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-22,340.0,1553.0,170.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-23,343.0,1560.0,171.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-24,344.0,1560.0,171.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-25,342.0,1583.0,175.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-26,358.0,1601.0,174.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-27,372.0,1635.0,182.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-28,369.0,1629.0,184.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-29,368.0,1625.0,183.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-30,371.0,1632.0,185.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-01-31,372.0,1638.0,185.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-01,374.0,1640.0,185.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-02,383.0,1648.0,189.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-03,384.0,1701.0,187.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-04,381.0,1695.0,187.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-05,382.0,1678.0,186.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-06,380.0,1680.0,186.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-07,388.0,1705.0,190.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-08,390.0,1706.0,191.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-09,387.0,1701.0,189.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-10,390.0,1697.0,190.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-11,392.0,1701.0,191.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-12,378.0,1695.0,182.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-13,388.0,1705.0,187.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-14,390.0,1720.0,191.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-15,390.0,1722.0,189.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-16,390.0,1725.0,190.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-17,392.0,1730.0,191.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-18,397.0,1740.0,192.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-19,397.0,1753.0,192.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-20,400.0,1753.0,192.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-21,397.0,1757.0,195.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-22,385.0,1680.0,189.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-23,361.0,1610.0,185.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-24,370.0,1613.0,189.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-25,355.0,1564.0,191.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-26,347.0,1544.0,186.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-27,361.0,1548.0,185.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-28,396.0,1641.0,193.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-02-29,390.0,1647.0,199.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-01,392.0,1651.0,200.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-02,396.0,1639.0,204.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-03,398.0,1643.0,205.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-04,400.0,1646.0,206.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-05,409.0,1657.0,207.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-06,408.0,1632.0,207.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-07,409.0,1634.0,208.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-08,416.0,1674.0,206.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-09,426.0,1702.0,211.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-10,451.0,1740.0,221.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-11,475.0,1725.0,229.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-12,478.0,1731.0,230.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-13,481.0,1737.0,230.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-14,488.0,1762.0,248.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-15,479.0,1771.0,223.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-16,497.0,1790.0,229.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-17,500.0,1794.0,231.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-18,495.0,1789.0,227.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-19,495.0,1791.0,227.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-20,495.0,1793.0,228.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-21,490.0,1778.0,229.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-22,488.0,1802.0,238.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-23,489.0,1805.0,239.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-24,493.0,1794.0,243.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-25,494.0,1796.0,244.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-26,471.0,1771.0,221.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-27,452.0,1812.0,215.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-28,453.0,1823.0,216.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-29,449.0,1836.0,212.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-30,448.0,1839.0,211.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-03-31,455.0,1840.0,219.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-04-01,455.0,1859.0,221.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-04-02,455.0,1883.0,220.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-04-03,456.0,1932.0,221.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-04-04,457.0,1937.0,222.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-04-05,459.0,1942.0,222.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-04-06,460.0,1966.0,222.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-04-07,458.0,1967.0,221.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-04-08,459.0,1972.0,222.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-04-09,456.0,2023.0,220.0,MODIS/006/MCD43A4
-87.39484820377795,32.95245040971435,2016-04-10,459.0,2067.0,224.0,MODIS/006/MCD43A4
