longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-99.10438793227591,47.16379820448518,2017-01-01,7797.0,7116.0,8524.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-02,7604.0,6905.0,8446.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-03,7604.0,6903.0,8475.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-04,7658.0,6971.0,8502.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-05,7613.0,6918.0,8503.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-06,7671.0,6982.0,8538.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-07,7724.0,7037.0,8571.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-08,7771.0,7099.0,8613.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-09,7822.0,7144.0,8614.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-10,7839.0,7149.0,8655.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-11,7875.0,7174.0,8670.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-12,7983.0,7305.0,8654.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-13,7987.0,7308.0,8656.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-14,7989.0,7304.0,8654.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-15,8071.0,7383.0,8715.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-16,8080.0,7381.0,8695.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-17,8079.0,7379.0,8695.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-18,8079.0,7377.0,8696.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-19,8081.0,7379.0,8696.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-20,8100.0,7353.0,8702.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-21,8099.0,7346.0,8700.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-22,8072.0,7310.0,8677.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-23,8076.0,7256.0,8652.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-24,8106.0,7240.0,8649.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-25,7989.0,7082.0,8471.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-26,7992.0,7093.0,8506.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-27,7947.0,7016.0,8366.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-28,7940.0,6964.0,8370.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-29,7884.0,6931.0,8337.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-30,7882.0,6929.0,8336.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-01-31,7929.0,7016.0,8385.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-01,7946.0,7063.0,8387.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-02,7946.0,7066.0,8389.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-03,7935.0,7015.0,8349.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-04,7738.0,6944.0,8207.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-05,7663.0,6909.0,8100.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-06,7656.0,6912.0,8096.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-07,7613.0,6866.0,8036.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-08,7585.0,6644.0,7879.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-09,7574.0,6632.0,7868.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-10,7292.0,6359.0,7528.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-11,7193.0,6342.0,7539.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-12,7025.0,6194.0,7342.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-13,7017.0,6186.0,7330.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-14,6980.0,6145.0,7270.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-15,6968.0,6133.0,7254.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-16,6794.0,5916.0,7043.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-17,6671.0,5777.0,6907.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-18,6662.0,5770.0,6898.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-19,6537.0,5676.0,6767.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-20,6720.0,5847.0,6867.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-21,6590.0,5744.0,6715.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-22,6592.0,5746.0,6718.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-23,6332.0,5492.0,6405.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-24,5855.0,5073.0,5912.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-25,5855.0,5074.0,5914.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-26,,,,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-27,,,,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-02-28,,,,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-01,,,,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-02,,,,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-03,,,,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-04,,,,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-05,,,,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-06,,,,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-07,6912.0,6769.0,6665.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-08,6912.0,6769.0,6666.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-09,6912.0,6769.0,6667.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-10,6912.0,6770.0,6668.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-11,6912.0,6770.0,6670.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-12,6912.0,6771.0,6671.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-13,6912.0,6771.0,6672.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-14,6912.0,6772.0,6673.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-15,6912.0,6772.0,6675.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-16,6913.0,6773.0,6676.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-17,6913.0,6774.0,6678.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-18,6913.0,6774.0,6679.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-19,6913.0,6775.0,6681.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-20,6914.0,6776.0,6682.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-21,6914.0,6776.0,6684.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-22,6914.0,6777.0,6685.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-23,,,,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-24,,,,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-25,,,,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-26,,,,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-27,1393.0,2367.0,710.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-28,1395.0,2372.0,711.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-29,1398.0,2376.0,712.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-30,1361.0,2334.0,679.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-03-31,1367.0,2339.0,679.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-04-01,1349.0,2343.0,679.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-04-02,1351.0,2347.0,680.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-04-03,1352.0,2350.0,681.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-04-04,1346.0,2365.0,680.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-04-05,1347.0,2368.0,681.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-04-06,1333.0,2375.0,674.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-04-07,1335.0,2380.0,675.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-04-08,1336.0,2385.0,677.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-04-09,1340.0,2391.0,677.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-04-10,1315.0,2386.0,671.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-04-11,1316.0,2391.0,672.0,MODIS/006/MCD43A4
-99.10438793227591,47.16379820448518,2017-04-12,1308.0,2394.0,668.0,MODIS/006/MCD43A4
