longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-99.25260995415563,47.1278655931204,2016-01-01,7781.0,7404.0,8071.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-02,7771.0,7390.0,8065.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-03,7763.0,7379.0,8060.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-04,7768.0,7384.0,8043.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-05,7859.0,7488.0,8069.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-06,7871.0,7502.0,8080.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-07,7883.0,7517.0,8091.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-08,7896.0,7531.0,8102.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-09,8039.0,7653.0,8236.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-10,8028.0,7677.0,8209.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-11,8074.0,7374.0,8242.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-12,8101.0,7797.0,8258.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-13,8185.0,7891.0,8331.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-14,8325.0,8087.0,8384.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-15,8326.0,8089.0,8391.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-16,8233.0,7916.0,8364.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-17,8269.0,7966.0,8446.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-18,8264.0,7960.0,8443.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-19,8258.0,7954.0,8440.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-20,8179.0,7795.0,8330.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-21,8025.0,7581.0,8244.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-22,8019.0,7575.0,8236.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-23,8013.0,7569.0,8229.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-24,8011.0,7567.0,8221.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-25,7021.0,6603.0,7081.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-26,7007.0,6591.0,7060.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-27,6993.0,6579.0,7040.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-28,6956.0,6548.0,7000.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-29,5643.0,5680.0,5153.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-30,5644.0,5683.0,5154.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-01-31,5645.0,5686.0,5155.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-02-01,6331.0,5966.0,6223.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-02-02,6337.0,5972.0,6228.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-02-03,6342.0,5978.0,6234.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-02-04,6347.0,5985.0,6239.0,MODIS/006/MCD43A4
-99.25260995415563,47.1278655931204,2016-02-05,5134.0,4915.0,4964.0,MODIS/006/MCD43A4
