longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-99.23913522489384,47.1278655931204,2016-01-01,8005.0,7540.0,8345.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-02,7993.0,7525.0,8334.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-03,7981.0,7510.0,8325.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-04,7975.0,7502.0,8302.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-05,8016.0,7551.0,8306.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-06,8028.0,7564.0,8315.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-07,8039.0,7577.0,8325.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-08,8051.0,7590.0,8338.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-09,8132.0,7691.0,8417.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-10,8133.0,7673.0,8393.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-11,8152.0,7722.0,8410.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-12,8158.0,7742.0,8421.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-13,8239.0,7806.0,8508.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-14,8423.0,8012.0,8610.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-15,8424.0,8012.0,8613.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-16,8150.0,7698.0,8495.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-17,8209.0,7717.0,8534.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-18,8200.0,7703.0,8527.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-19,8191.0,7689.0,8519.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-20,8136.0,7573.0,8420.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-21,7928.0,7329.0,8268.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-22,7921.0,7317.0,8259.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-23,7915.0,7304.0,8249.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-24,7920.0,7303.0,8245.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-25,6919.0,6393.0,7081.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-26,6913.0,6385.0,7065.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-27,6908.0,6378.0,7049.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-28,6875.0,6349.0,7009.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-29,6004.0,5722.0,5697.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-30,5979.0,5702.0,5668.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-01-31,5955.0,5683.0,5640.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-01,6063.0,5679.0,5933.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-02,6052.0,5668.0,5919.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-03,6042.0,5657.0,5905.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-04,6030.0,5646.0,5890.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-05,5287.0,5134.0,4971.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-06,5280.0,5126.0,4963.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-07,5274.0,5118.0,4955.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-08,5267.0,5109.0,4947.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-09,4956.0,4764.0,4734.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-10,,,,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-11,,,,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-12,5380.0,5097.0,5040.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-13,5404.0,5115.0,5062.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-14,5429.0,5134.0,5084.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-15,5827.0,5665.0,5560.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-16,5849.0,5684.0,5581.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-17,6427.0,6261.0,6190.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-18,6428.0,6259.0,6189.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-19,6429.0,6256.0,6188.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-20,6436.0,6270.0,6197.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-21,6443.0,6285.0,6207.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-22,6449.0,6299.0,6216.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-23,6451.0,6298.0,6216.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-24,6452.0,6297.0,6216.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-25,6454.0,6296.0,6215.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-26,6455.0,6295.0,6215.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-27,6456.0,6294.0,6215.0,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-28,,,,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-02-29,,,,MODIS/006/MCD43A4
-99.23913522489384,47.1278655931204,2016-03-01,,,,MODIS/006/MCD43A4
