longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-102.44612078920053,39.757188686919726,2016-01-01,1162.0,1722.0,646.0,MODIS/006/MCD43A4
-102.44612078920053,39.757188686919726,2016-01-02,1163.0,1723.0,647.0,MODIS/006/MCD43A4
-102.44612078920053,39.757188686919726,2016-01-03,1162.0,1737.0,648.0,MODIS/006/MCD43A4
-102.44612078920053,39.757188686919726,2016-01-04,1167.0,1749.0,654.0,MODIS/006/MCD43A4
-102.44612078920053,39.757188686919726,2016-01-05,1154.0,1733.0,645.0,MODIS/006/MCD43A4
-102.44612078920053,39.757188686919726,2016-01-06,1155.0,1734.0,646.0,MODIS/006/MCD43A4
-102.44612078920053,39.757188686919726,2016-01-07,1157.0,1735.0,647.0,MODIS/006/MCD43A4
-102.44612078920053,39.757188686919726,2016-01-08,1158.0,1737.0,648.0,MODIS/006/MCD43A4
-102.44612078920053,39.757188686919726,2016-01-09,1164.0,1747.0,650.0,MODIS/006/MCD43A4
-102.44612078920053,39.757188686919726,2016-01-10,1161.0,1751.0,651.0,MODIS/006/MCD43A4
-102.44612078920053,39.757188686919726,2016-01-11,1164.0,1761.0,655.0,MODIS/006/MCD43A4
-102.44612078920053,39.757188686919726,2016-01-12,1168.0,1766.0,654.0,MODIS/006/MCD43A4
-102.44612078920053,39.757188686919726,2016-01-13,1171.0,1768.0,655.0,MODIS/006/MCD43A4
-102.44612078920053,39.757188686919726,2016-01-14,1167.0,1765.0,653.0,MODIS/006/MCD43A4
-102.44612078920053,39.757188686919726,2016-01-15,1158.0,1769.0,643.0,MODIS/006/MCD43A4
-102.44612078920053,39.757188686919726,2016-01-16,1160.0,1772.0,644.0,MODIS/006/MCD43A4
-102.44612078920053,39.757188686919726,2016-01-17,1162.0,1770.0,648.0,MODIS/006/MCD43A4
-102.44612078920053,39.757188686919726,2016-01-18,1164.0,1772.0,649.0,MODIS/006/MCD43A4
-102.44612078920053,39.757188686919726,2016-01-19,1154.0,1761.0,636.0,MODIS/006/MCD43A4
