longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-105.54530851941288,40.27371997528845,2016-01-01,1876.0,2952.0,1819.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-02,1873.0,2949.0,1816.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-03,1870.0,2946.0,1813.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-04,1872.0,2947.0,1815.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-05,1760.0,2823.0,1715.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-06,1763.0,2822.0,1718.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-07,1622.0,2679.0,1576.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-08,1627.0,2679.0,1581.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-09,1854.0,2824.0,1821.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-10,1779.0,2707.0,1761.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-11,1787.0,2709.0,1770.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-12,,,,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-13,,,,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-14,1772.0,2686.0,1812.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-15,1769.0,2686.0,1810.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-16,1767.0,2687.0,1807.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-17,1764.0,2687.0,1805.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-18,1761.0,2687.0,1803.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-19,1758.0,2688.0,1801.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-20,1756.0,2688.0,1799.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-21,1441.0,2471.0,1430.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-22,,,,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-23,,,,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-24,,,,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-25,,,,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-26,1423.0,2449.0,1398.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-27,1419.0,2444.0,1392.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-28,1416.0,2440.0,1386.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-29,1419.0,2443.0,1389.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-30,,,,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-01-31,914.0,1952.0,826.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-01,909.0,1947.0,822.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-02,904.0,1942.0,818.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-03,899.0,1937.0,814.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-04,894.0,1933.0,810.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-05,889.0,1928.0,807.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-06,,,,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-07,,,,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-08,,,,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-09,,,,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-10,801.0,1825.0,569.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-11,784.0,1719.0,587.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-12,786.0,1717.0,586.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-13,787.0,1715.0,586.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-14,740.0,1746.0,508.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-15,740.0,1745.0,508.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-16,741.0,1745.0,507.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-17,742.0,1744.0,507.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-18,740.0,1742.0,507.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-19,731.0,1760.0,502.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-20,729.0,1765.0,500.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-21,727.0,1769.0,499.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-22,727.0,1773.0,502.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-23,728.0,1776.0,504.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-24,,,,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-25,,,,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-26,682.0,1763.0,507.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-27,673.0,1856.0,469.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-28,673.0,1858.0,469.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-02-29,674.0,1860.0,470.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-03-01,,,,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-03-02,,,,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-03-03,577.0,1704.0,355.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-03-04,577.0,1705.0,298.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-03-05,577.0,1706.0,299.0,MODIS/006/MCD43A4
-105.54530851941288,40.27371997528845,2016-03-06,584.0,1677.0,311.0,MODIS/006/MCD43A4
