longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-106.84337410496559,32.58863271964594,2017-01-01,1637.0,2291.0,639.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-02,1688.0,2348.0,665.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-03,1684.0,2343.0,664.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-04,1698.0,2360.0,670.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-05,1699.0,2361.0,670.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-06,1696.0,2357.0,669.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-07,1694.0,2354.0,669.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-08,1694.0,2353.0,668.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-09,1673.0,2334.0,667.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-10,1673.0,2334.0,667.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-11,1673.0,2335.0,667.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-12,1664.0,2323.0,662.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-13,1661.0,2319.0,662.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-14,1595.0,2229.0,640.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-15,1586.0,2214.0,637.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-16,1552.0,2164.0,633.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-17,1540.0,2142.0,636.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-18,1546.0,2144.0,643.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-19,1555.0,2154.0,634.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-20,1546.0,2140.0,632.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-21,1557.0,2150.0,638.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-22,1559.0,2150.0,638.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-23,1579.0,2172.0,641.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-24,1593.0,2186.0,646.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-25,1611.0,2205.0,648.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-26,1614.0,2208.0,642.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-27,1617.0,2212.0,643.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-28,1622.0,2217.0,645.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-29,1634.0,2230.0,649.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-30,1638.0,2234.0,649.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-01-31,1641.0,2235.0,645.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-01,1651.0,2249.0,644.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-02,1648.0,2246.0,642.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-03,1654.0,2251.0,644.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-04,1664.0,2265.0,652.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-05,1666.0,2266.0,652.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-06,1681.0,2285.0,655.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-07,1679.0,2282.0,654.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-08,1651.0,2251.0,650.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-09,1634.0,2232.0,642.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-10,1604.0,2195.0,629.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-11,1606.0,2197.0,636.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-12,1539.0,2114.0,619.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-13,1537.0,2113.0,617.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-14,1531.0,2105.0,618.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-15,1537.0,2114.0,617.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-16,1569.0,2144.0,629.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-17,1577.0,2151.0,643.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-18,1608.0,2189.0,648.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-19,1604.0,2185.0,644.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-20,1604.0,2182.0,643.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-21,1615.0,2197.0,648.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-22,1646.0,2234.0,662.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-23,1661.0,2252.0,669.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-24,1676.0,2269.0,672.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-25,1710.0,2308.0,680.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-26,1714.0,2313.0,686.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-27,1726.0,2329.0,690.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-02-28,1781.0,2402.0,707.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-01,1799.0,2425.0,715.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-02,1797.0,2422.0,715.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-03,1822.0,2454.0,727.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-04,1814.0,2446.0,728.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-05,1827.0,2460.0,724.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-06,1836.0,2472.0,724.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-07,1834.0,2467.0,724.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-08,1835.0,2468.0,723.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-09,1840.0,2474.0,725.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-10,1833.0,2471.0,723.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-11,1841.0,2482.0,724.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-12,1846.0,2493.0,723.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-13,1847.0,2498.0,727.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-14,1858.0,2516.0,738.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-15,1849.0,2512.0,741.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-16,1843.0,2515.0,747.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-17,1841.0,2520.0,748.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-18,1857.0,2545.0,753.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-19,1853.0,2545.0,753.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-20,1858.0,2560.0,760.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-21,1860.0,2568.0,765.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-22,1851.0,2562.0,772.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-23,1847.0,2565.0,770.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-24,1851.0,2570.0,772.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-25,1852.0,2575.0,773.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-26,1857.0,2589.0,771.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-27,1873.0,2614.0,777.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-28,1877.0,2627.0,785.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-29,1879.0,2635.0,786.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-30,1889.0,2650.0,787.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-03-31,1897.0,2663.0,784.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-01,1896.0,2665.0,780.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-02,1892.0,2659.0,779.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-03,1889.0,2658.0,780.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-04,1900.0,2681.0,780.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-05,1894.0,2678.0,776.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-06,1897.0,2681.0,777.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-07,1900.0,2688.0,775.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-08,1913.0,2691.0,777.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-09,1931.0,2727.0,784.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-10,1934.0,2735.0,783.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-11,1933.0,2745.0,789.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-12,1918.0,2752.0,778.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-13,1915.0,2758.0,778.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-14,1927.0,2776.0,778.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-15,1934.0,2772.0,778.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-16,1943.0,2798.0,782.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-17,1946.0,2831.0,781.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-18,1958.0,2850.0,786.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-19,1977.0,2914.0,782.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-20,1984.0,2942.0,786.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-21,1989.0,2949.0,787.0,MODIS/006/MCD43A4
-106.84337410496559,32.58863271964594,2017-04-22,1993.0,2954.0,788.0,MODIS/006/MCD43A4
