longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-119.26258290791797,37.03529337603757,2017-01-01,435.0,1176.0,248.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-02,434.0,1175.0,248.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-03,433.0,1175.0,247.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-04,342.0,1103.0,174.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-05,342.0,1091.0,173.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-06,320.0,1060.0,162.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-07,404.0,1220.0,243.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-08,407.0,1224.0,246.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-09,407.0,1182.0,298.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-10,,,,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-11,,,,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-12,,,,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-13,,,,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-14,417.0,1202.0,257.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-15,483.0,1217.0,275.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-16,483.0,1216.0,275.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-17,485.0,1216.0,274.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-18,486.0,1216.0,274.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-19,486.0,1216.0,274.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-20,486.0,1216.0,275.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-21,486.0,1216.0,275.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-22,,,,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-23,,,,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-24,,,,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-25,,,,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-26,,,,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-27,,,,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-28,,,,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-29,,,,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-30,,,,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-01-31,,,,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-02-01,,,,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-02-02,,,,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-02-03,,,,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-02-04,,,,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-02-05,265.0,1126.0,164.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-02-06,540.0,1250.0,239.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-02-07,394.0,1040.0,225.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-02-08,302.0,1084.0,247.0,MODIS/006/MCD43A4
-119.26258290791797,37.03529337603757,2017-02-09,301.0,1085.0,248.0,MODIS/006/MCD43A4
