longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-81.21893062545624,27.176283132825827,2016-01-01,419.0,3008.0,314.0,MODIS/006/MCD43A4
-81.21893062545624,27.176283132825827,2016-01-02,419.0,3008.0,314.0,MODIS/006/MCD43A4
-81.21893062545624,27.176283132825827,2016-01-03,419.0,3009.0,315.0,MODIS/006/MCD43A4
-81.21893062545624,27.176283132825827,2016-01-04,423.0,3060.0,330.0,MODIS/006/MCD43A4
-81.21893062545624,27.176283132825827,2016-01-05,423.0,3061.0,331.0,MODIS/006/MCD43A4
-81.21893062545624,27.176283132825827,2016-01-06,424.0,3063.0,332.0,MODIS/006/MCD43A4
-81.21893062545624,27.176283132825827,2016-01-07,424.0,3064.0,332.0,MODIS/006/MCD43A4
-81.21893062545624,27.176283132825827,2016-01-08,424.0,3066.0,333.0,MODIS/006/MCD43A4
-81.21893062545624,27.176283132825827,2016-01-09,423.0,2976.0,323.0,MODIS/006/MCD43A4
-81.21893062545624,27.176283132825827,2016-01-10,422.0,2938.0,319.0,MODIS/006/MCD43A4
-81.21893062545624,27.176283132825827,2016-01-11,564.0,2252.0,268.0,MODIS/006/MCD43A4
-81.21893062545624,27.176283132825827,2016-01-12,565.0,2252.0,268.0,MODIS/006/MCD43A4
-81.21893062545624,27.176283132825827,2016-01-13,592.0,2835.0,287.0,MODIS/006/MCD43A4
-81.21893062545624,27.176283132825827,2016-01-14,593.0,2832.0,286.0,MODIS/006/MCD43A4
-81.21893062545624,27.176283132825827,2016-01-15,594.0,2829.0,286.0,MODIS/006/MCD43A4
-81.21893062545624,27.176283132825827,2016-01-16,642.0,2371.0,338.0,MODIS/006/MCD43A4
-81.21893062545624,27.176283132825827,2016-01-17,639.0,2404.0,331.0,MODIS/006/MCD43A4
-81.21893062545624,27.176283132825827,2016-01-18,652.0,2407.0,343.0,MODIS/006/MCD43A4
-81.21893062545624,27.176283132825827,2016-01-19,654.0,2409.0,345.0,MODIS/006/MCD43A4
-81.21893062545624,27.176283132825827,2016-01-20,658.0,2411.0,346.0,MODIS/006/MCD43A4
