longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-81.21893062545624,27.16729997998463,2016-01-01,419.0,2052.0,218.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-02,420.0,2053.0,218.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-03,420.0,2054.0,218.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-04,434.0,2074.0,230.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-05,436.0,2076.0,230.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-06,437.0,2078.0,231.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-07,439.0,2079.0,232.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-08,440.0,2081.0,232.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-09,444.0,2067.0,233.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-10,455.0,2102.0,236.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-11,457.0,2104.0,236.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-12,459.0,2106.0,236.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-13,494.0,2166.0,260.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-14,496.0,2168.0,260.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-15,498.0,2169.0,260.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-16,638.0,2523.0,334.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-17,638.0,2517.0,330.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-18,642.0,2514.0,337.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-19,633.0,2473.0,331.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-20,635.0,2470.0,333.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-21,636.0,2470.0,333.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-22,637.0,2471.0,334.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-23,638.0,2471.0,334.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-24,639.0,2470.0,335.0,MODIS/006/MCD43A4
-81.21893062545624,27.16729997998463,2016-01-25,648.0,2419.0,351.0,MODIS/006/MCD43A4
