longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-81.20096431977385,27.189757862087617,2016-01-01,384.0,2383.0,192.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-02,384.0,2383.0,192.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-03,384.0,2383.0,192.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-04,390.0,2336.0,189.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-05,390.0,2335.0,189.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-06,390.0,2333.0,189.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-07,391.0,2332.0,189.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-08,391.0,2331.0,189.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-09,396.0,2252.0,190.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-10,396.0,2250.0,190.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-11,409.0,2239.0,202.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-12,410.0,2237.0,203.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-13,421.0,2164.0,207.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-14,422.0,2163.0,208.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-15,422.0,2163.0,208.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-16,428.0,2128.0,211.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-17,676.0,2924.0,367.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-18,697.0,2938.0,375.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-19,700.0,2938.0,376.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-20,709.0,2928.0,385.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-21,711.0,2929.0,386.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-22,713.0,2933.0,391.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-23,716.0,2933.0,392.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-24,719.0,2935.0,393.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-25,732.0,2813.0,408.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-26,734.0,2810.0,408.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-27,740.0,2811.0,408.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-28,742.0,2807.0,408.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-29,737.0,2773.0,392.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-30,738.0,2768.0,392.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-01-31,736.0,2725.0,383.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-01,738.0,2653.0,381.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-02,738.0,2733.0,381.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-03,730.0,2658.0,372.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-04,721.0,2520.0,366.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-05,748.0,2556.0,368.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-06,748.0,2569.0,370.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-07,729.0,2548.0,360.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-08,731.0,2549.0,361.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-09,751.0,2573.0,372.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-10,758.0,2572.0,367.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-11,760.0,2574.0,368.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-12,762.0,2576.0,368.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-13,764.0,2578.0,368.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-14,774.0,2578.0,376.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-15,776.0,2579.0,377.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-16,787.0,2580.0,384.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-17,803.0,2591.0,384.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-18,791.0,2555.0,391.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-19,804.0,2573.0,396.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-20,799.0,2577.0,392.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-21,909.0,2702.0,474.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-22,917.0,2758.0,478.0,MODIS/006/MCD43A4
-81.20096431977385,27.189757862087617,2016-02-23,916.0,2786.0,475.0,MODIS/006/MCD43A4
