longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-83.61743243405536,31.510654378702515,2016-01-01,697.0,2498.0,308.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-02,698.0,2499.0,309.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-03,699.0,2500.0,310.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-04,701.0,2524.0,310.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-05,713.0,2507.0,331.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-06,726.0,2485.0,348.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-07,726.0,2485.0,348.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-08,707.0,2369.0,340.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-09,707.0,2367.0,340.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-10,701.0,2357.0,337.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-11,702.0,2357.0,341.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-12,695.0,2360.0,342.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-13,693.0,2347.0,340.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-14,713.0,2342.0,347.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-15,711.0,2340.0,347.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-16,713.0,2344.0,347.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-17,709.0,2361.0,343.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-18,712.0,2365.0,344.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-19,714.0,2370.0,345.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-20,700.0,2363.0,337.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-21,687.0,2359.0,327.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-22,699.0,2377.0,335.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-23,700.0,2379.0,336.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-24,732.0,2456.0,350.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-25,735.0,2472.0,351.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-26,724.0,2449.0,349.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-27,737.0,2463.0,355.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-28,751.0,2473.0,357.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-29,741.0,2461.0,361.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-30,743.0,2465.0,362.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-01-31,749.0,2472.0,360.0,MODIS/006/MCD43A4
-83.61743243405536,31.510654378702515,2016-02-01,735.0,2475.0,356.0,MODIS/006/MCD43A4
