longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-116.71136750101854,43.166295190153306,2017-01-01,5169.0,4933.0,5388.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-02,5184.0,4945.0,5403.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-03,5030.0,4861.0,5539.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-04,4971.0,4809.0,5473.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-05,4966.0,4803.0,5487.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-06,5296.0,5088.0,5743.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-07,5267.0,5061.0,5774.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-08,5301.0,5030.0,5898.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-09,5420.0,5095.0,6065.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-10,5372.0,5051.0,6031.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-11,5364.0,5044.0,6023.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-12,5355.0,5036.0,6015.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-13,5347.0,5031.0,6007.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-14,5340.0,5039.0,5990.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-15,5221.0,4919.0,5849.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-16,5224.0,4922.0,5850.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-17,5226.0,4922.0,5853.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-18,5225.0,4920.0,5853.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-19,5224.0,4919.0,5854.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-20,5652.0,5264.0,6172.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-21,5671.0,5294.0,6213.0,MODIS/006/MCD43A4
-116.71136750101854,43.166295190153306,2017-01-22,5786.0,5457.0,6327.0,MODIS/006/MCD43A4
