longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-95.79858768671608,45.686069562108564,2015-01-01,,,,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-02,,,,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-03,,,,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-04,,,,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-05,,,,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-06,3323.0,3373.0,3431.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-07,3319.0,3369.0,3428.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-08,3314.0,3364.0,3424.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-09,3310.0,3359.0,3421.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-10,3306.0,3354.0,3418.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-11,3301.0,3349.0,3414.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-12,3353.0,3403.0,3452.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-13,3404.0,3457.0,3490.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-14,3404.0,3457.0,3490.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-15,5325.0,5382.0,5239.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-16,,,,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-17,,,,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-18,,,,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-19,,,,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-20,,,,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-21,5230.0,5699.0,5364.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-22,5372.0,5959.0,5619.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-23,5356.0,5955.0,5605.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-24,5358.0,5955.0,5607.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-25,5360.0,5955.0,5608.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-26,5362.0,5956.0,5610.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-27,5364.0,5956.0,5611.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-28,5518.0,6287.0,5973.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-29,5526.0,6303.0,5991.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-30,5646.0,6446.0,6118.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-01-31,5570.0,6564.0,6142.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-02-01,6003.0,7174.0,6872.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-02-02,6003.0,7175.0,6873.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-02-03,6003.0,7175.0,6873.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-02-04,6003.0,7176.0,6874.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-02-05,6792.0,6975.0,6566.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-02-06,6010.0,7158.0,6849.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-02-07,6794.0,6976.0,6557.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-02-08,6809.0,6996.0,6574.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-02-09,6825.0,7016.0,6591.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-02-10,6841.0,7036.0,6609.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-02-11,6858.0,7056.0,6627.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-02-12,6856.0,7053.0,6624.0,MODIS/006/MCD43A4
-95.79858768671608,45.686069562108564,2015-02-13,6854.0,7050.0,6622.0,MODIS/006/MCD43A4
