longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-96.1264727654197,45.627679068640795,2017-01-01,6887.0,6927.0,6964.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-02,6886.0,6927.0,6964.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-03,6886.0,6925.0,6964.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-04,6135.0,6924.0,6428.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-05,,,,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-06,,,,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-07,6562.0,6438.0,6833.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-08,,,,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-09,,,,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-10,6594.0,6427.0,6911.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-11,6399.0,6316.0,6539.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-12,6183.0,6023.0,6456.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-13,6140.0,5968.0,6425.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-14,6135.0,5973.0,6417.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-15,6133.0,5960.0,6418.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-16,6072.0,5893.0,6361.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-17,6055.0,5876.0,6344.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-18,6029.0,5853.0,6316.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-19,5996.0,5821.0,6285.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-20,6103.0,5930.0,6365.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-21,6010.0,5844.0,6269.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-22,6013.0,5846.0,6273.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-23,5917.0,5754.0,6179.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-24,5688.0,5538.0,5924.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-25,5690.0,5538.0,5926.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-26,5269.0,5173.0,5436.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-27,4628.0,4589.0,4855.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-28,,,,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-29,,,,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-30,,,,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-01-31,,,,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-02-01,,,,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-02-02,,,,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-02-03,1097.0,1545.0,587.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-02-04,1101.0,1551.0,589.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-02-05,1060.0,1535.0,558.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-02-06,1081.0,1586.0,568.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-02-07,1010.0,1490.0,541.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-02-08,1034.0,1533.0,554.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-02-09,1038.0,1539.0,556.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-02-10,998.0,1460.0,543.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-02-11,969.0,1440.0,536.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-02-12,970.0,1444.0,536.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-02-13,971.0,1447.0,537.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-02-14,960.0,1433.0,535.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-02-15,961.0,1435.0,536.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-02-16,960.0,1435.0,536.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-02-17,960.0,1435.0,537.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-02-18,959.0,1434.0,536.0,MODIS/006/MCD43A4
-96.1264727654197,45.627679068640795,2017-02-19,952.0,1448.0,530.0,MODIS/006/MCD43A4
