longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-79.84899981717398,9.156078533388223,2014-01-01,203.0,2931.0,187.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-02,208.0,2914.0,187.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-03,198.0,2881.0,173.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-04,209.0,2937.0,172.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-05,202.0,2973.0,174.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-06,202.0,2978.0,174.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-07,164.0,3022.0,174.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-08,163.0,3027.0,174.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-09,140.0,3010.0,192.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-10,138.0,3019.0,192.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-11,136.0,3029.0,193.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-12,67.0,3251.0,141.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-13,66.0,3264.0,141.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-14,65.0,3494.0,,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-15,65.0,3503.0,,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-16,108.0,3312.0,58.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-17,109.0,3314.0,58.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-18,110.0,3317.0,58.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-19,127.0,3541.0,57.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-20,128.0,3549.0,57.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-21,145.0,3401.0,57.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-22,147.0,3404.0,57.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-23,157.0,3398.0,57.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-24,158.0,3397.0,57.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-25,159.0,3367.0,57.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-26,163.0,3445.0,62.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-27,164.0,3427.0,63.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-28,165.0,3431.0,63.0,MODIS/006/MCD43A4
-79.84899981717398,9.156078533388223,2014-01-29,166.0,3440.0,64.0,MODIS/006/MCD43A4
