longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-112.48030251281558,45.95107257092383,2008-01-01,6588.0,6726.0,5997.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-02,5887.0,5971.0,5445.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-03,5863.0,5947.0,5423.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-04,5323.0,5398.0,4925.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-05,5324.0,5399.0,4925.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-06,5324.0,5399.0,4925.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-07,5325.0,5400.0,4925.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-08,,,,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-09,,,,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-10,,,,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-11,,,,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-12,,,,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-13,,,,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-14,,,,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-15,,,,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-16,,,,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-17,,,,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-18,,,,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-19,,,,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-20,8102.0,7990.0,7677.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-21,8100.0,7989.0,7676.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-22,8156.0,7933.0,7854.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-23,8408.0,8210.0,8024.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-24,8024.0,8008.0,7533.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-25,8023.0,8006.0,7533.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-26,8022.0,8004.0,7533.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-27,8254.0,8042.0,7878.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-28,8256.0,8045.0,7878.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-29,8258.0,8047.0,7878.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-30,8317.0,8095.0,7904.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-01-31,8299.0,8076.0,7889.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-02-01,8305.0,8104.0,7865.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-02-02,8279.0,8076.0,7844.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-02-03,8253.0,8047.0,7822.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-02-04,8256.0,8050.0,7824.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-02-05,8259.0,8053.0,7826.0,MODIS/006/MCD43A4
-112.48030251281558,45.95107257092383,2008-02-06,8261.0,8056.0,7828.0,MODIS/006/MCD43A4
