longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-117.08416834392814,46.78201420873438,2017-01-01,8393.0,7897.0,8488.0,MODIS/006/MCD43A4
-117.08416834392814,46.78201420873438,2017-01-02,8422.0,7938.0,8541.0,MODIS/006/MCD43A4
-117.08416834392814,46.78201420873438,2017-01-03,8407.0,7925.0,8533.0,MODIS/006/MCD43A4
-117.08416834392814,46.78201420873438,2017-01-04,8392.0,7911.0,8524.0,MODIS/006/MCD43A4
-117.08416834392814,46.78201420873438,2017-01-05,8124.0,7677.0,8364.0,MODIS/006/MCD43A4
-117.08416834392814,46.78201420873438,2017-01-06,8344.0,7876.0,8539.0,MODIS/006/MCD43A4
-117.08416834392814,46.78201420873438,2017-01-07,8359.0,7890.0,8555.0,MODIS/006/MCD43A4
-117.08416834392814,46.78201420873438,2017-01-08,8385.0,7913.0,8595.0,MODIS/006/MCD43A4
-117.08416834392814,46.78201420873438,2017-01-09,8382.0,7922.0,8677.0,MODIS/006/MCD43A4
-117.08416834392814,46.78201420873438,2017-01-10,8397.0,7935.0,8693.0,MODIS/006/MCD43A4
-117.08416834392814,46.78201420873438,2017-01-11,8230.0,7771.0,8595.0,MODIS/006/MCD43A4
-117.08416834392814,46.78201420873438,2017-01-12,8249.0,7788.0,8614.0,MODIS/006/MCD43A4
-117.08416834392814,46.78201420873438,2017-01-13,8335.0,7861.0,8686.0,MODIS/006/MCD43A4
-117.08416834392814,46.78201420873438,2017-01-14,8343.0,7856.0,8600.0,MODIS/006/MCD43A4
-117.08416834392814,46.78201420873438,2017-01-15,8578.0,8091.0,8796.0,MODIS/006/MCD43A4
-117.08416834392814,46.78201420873438,2017-01-16,8569.0,8079.0,8784.0,MODIS/006/MCD43A4
-117.08416834392814,46.78201420873438,2017-01-17,8554.0,8064.0,8766.0,MODIS/006/MCD43A4
-117.08416834392814,46.78201420873438,2017-01-18,8481.0,7973.0,8671.0,MODIS/006/MCD43A4
-117.08416834392814,46.78201420873438,2017-01-19,8462.0,7954.0,8647.0,MODIS/006/MCD43A4
-117.08416834392814,46.78201420873438,2017-01-20,8443.0,7933.0,8622.0,MODIS/006/MCD43A4
