longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-92.2008349738174,38.74209241586467,2006-01-01,514.0,1524.0,239.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-02,515.0,1524.0,239.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-03,516.0,1524.0,239.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-04,551.0,1541.0,282.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-05,564.0,1541.0,289.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-06,550.0,1521.0,284.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-07,468.0,1382.0,235.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-08,476.0,1366.0,237.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-09,485.0,1368.0,243.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-10,485.0,1370.0,244.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-11,485.0,1371.0,244.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-12,485.0,1374.0,244.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-13,485.0,1375.0,244.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-14,485.0,1375.0,244.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-15,485.0,1375.0,244.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-16,484.0,1375.0,243.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-17,463.0,1349.0,230.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-18,459.0,1363.0,227.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-19,456.0,1351.0,226.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-20,464.0,1361.0,224.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-21,462.0,1350.0,222.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-22,465.0,1353.0,219.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-23,469.0,1351.0,220.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-24,456.0,1346.0,217.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-25,457.0,1350.0,217.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-26,458.0,1352.0,218.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-27,458.0,1355.0,218.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-28,469.0,1378.0,224.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-29,470.0,1383.0,224.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-30,471.0,1385.0,224.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-01-31,482.0,1416.0,231.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-01,484.0,1420.0,232.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-02,494.0,1441.0,239.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-03,503.0,1475.0,243.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-04,506.0,1474.0,245.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-05,508.0,1477.0,246.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-06,513.0,1487.0,247.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-07,527.0,1478.0,256.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-08,529.0,1481.0,256.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-09,546.0,1509.0,263.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-10,543.0,1503.0,266.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-11,544.0,1505.0,266.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-12,545.0,1506.0,267.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-13,550.0,1504.0,268.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-14,552.0,1522.0,267.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-15,557.0,1529.0,269.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-16,629.0,1584.0,265.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-17,631.0,1589.0,263.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-18,635.0,1598.0,264.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-19,632.0,1595.0,267.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-20,615.0,1579.0,266.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-21,627.0,1609.0,277.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-22,636.0,1621.0,281.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-23,640.0,1633.0,285.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-24,640.0,1639.0,330.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-25,641.0,1644.0,330.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2006-02-26,644.0,1649.0,331.0,MODIS/006/MCD43A4
