longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-83.42878622439027,35.05899975097463,2011-01-01,400.0,1387.0,215.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-02,400.0,1388.0,217.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-03,402.0,1392.0,218.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-04,404.0,1395.0,219.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-05,405.0,1398.0,220.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-06,407.0,1402.0,220.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-07,408.0,1405.0,221.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-08,376.0,1352.0,222.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-09,378.0,1357.0,222.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-10,379.0,1356.0,223.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-11,445.0,1402.0,237.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-12,576.0,1539.0,340.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-13,675.0,1607.0,415.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-14,509.0,1456.0,292.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-15,522.0,1620.0,284.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-16,524.0,1624.0,285.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-17,495.0,1636.0,285.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-18,466.0,1692.0,300.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-19,466.0,1697.0,300.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-20,497.0,1636.0,281.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-21,496.0,1633.0,280.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-22,495.0,1647.0,281.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-23,483.0,1628.0,277.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-24,501.0,1640.0,244.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-25,502.0,1642.0,245.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-26,502.0,1644.0,246.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-27,502.0,1646.0,247.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-28,464.0,1577.0,248.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-29,455.0,1551.0,242.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-30,428.0,1475.0,230.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-01-31,392.0,1367.0,216.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-01,418.0,1463.0,227.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-02,430.0,1504.0,237.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-03,448.0,1593.0,249.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-04,449.0,1596.0,250.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-05,445.0,1598.0,250.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-06,458.0,1626.0,252.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-07,461.0,1646.0,261.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-08,458.0,1564.0,260.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-09,463.0,1707.0,263.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-10,515.0,1728.0,265.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-11,519.0,1740.0,267.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-12,526.0,1767.0,271.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-13,529.0,1778.0,273.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-14,544.0,1815.0,281.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-15,522.0,1831.0,282.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-16,526.0,1829.0,280.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-17,535.0,1823.0,280.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-18,514.0,1807.0,278.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-19,500.0,1727.0,275.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-20,501.0,1730.0,276.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-21,503.0,1737.0,278.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-22,488.0,1685.0,271.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-23,467.0,1661.0,267.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-24,443.0,1618.0,243.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-25,435.0,1547.0,236.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-26,432.0,1548.0,236.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-27,432.0,1552.0,236.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-02-28,419.0,1514.0,228.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-03-01,419.0,1518.0,228.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-03-02,418.0,1520.0,228.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-03-03,423.0,1545.0,231.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-03-04,444.0,1598.0,241.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-03-05,448.0,1612.0,244.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-03-06,448.0,1622.0,247.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-03-07,447.0,1635.0,244.0,MODIS/006/MCD43A4
-83.42878622439027,35.05899975097463,2011-03-08,449.0,1642.0,245.0,MODIS/006/MCD43A4
