longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-104.7682657986495,40.83965860428375,2016-01-01,6477.0,6635.0,6426.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-02,6465.0,6626.0,6415.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-03,6700.0,6819.0,6656.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-04,6714.0,6831.0,6672.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-05,6827.0,6933.0,6776.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-06,6852.0,6956.0,6801.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-07,7494.0,7547.0,7515.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-08,7509.0,7565.0,7532.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-09,7564.0,7627.0,7585.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-10,7743.0,7844.0,7782.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-11,7723.0,7831.0,7763.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-12,7711.0,7817.0,7746.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-13,7690.0,7796.0,7724.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-14,7668.0,7774.0,7702.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-15,7660.0,7769.0,7696.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-16,7652.0,7764.0,7689.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-17,7652.0,7767.0,7691.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-18,7653.0,7769.0,7694.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-19,7266.0,7469.0,7274.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-20,7282.0,7327.0,7195.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-21,6806.0,6880.0,6788.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-22,1334.0,1873.0,774.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-23,1333.0,1872.0,774.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-24,1333.0,1871.0,774.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-25,1332.0,1870.0,774.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-26,1332.0,1869.0,774.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-27,1331.0,1868.0,774.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-28,1331.0,1867.0,775.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-29,1330.0,1865.0,775.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-30,1329.0,1864.0,775.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-01-31,1329.0,1863.0,775.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-01,8213.0,8620.0,8706.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-02,8211.0,8622.0,8707.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-03,8210.0,8624.0,8707.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-04,8208.0,8614.0,8703.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-05,8194.0,8605.0,8695.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-06,8194.0,8606.0,8695.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-07,1186.0,1664.0,673.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-08,1186.0,1663.0,673.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-09,1185.0,1662.0,674.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-10,1183.0,1659.0,673.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-11,1182.0,1658.0,673.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-12,1164.0,1638.0,667.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-13,1184.0,1676.0,681.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-14,1184.0,1677.0,682.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-15,1183.0,1677.0,683.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-16,1280.0,1849.0,726.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-17,1283.0,1859.0,731.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-18,1276.0,1887.0,741.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-19,1278.0,1897.0,743.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-20,1282.0,1903.0,746.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-21,1280.0,1904.0,744.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-22,1321.0,1972.0,770.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-23,1333.0,1990.0,778.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-24,1324.0,1975.0,773.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-25,1327.0,1979.0,775.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-26,1324.0,1973.0,771.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-27,1328.0,1978.0,774.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-28,1319.0,1968.0,766.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-02-29,1309.0,1960.0,759.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-01,1327.0,1979.0,769.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-02,1330.0,1983.0,771.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-03,1337.0,1988.0,774.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-04,1324.0,1993.0,767.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-05,1327.0,2000.0,767.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-06,1345.0,2015.0,780.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-07,1341.0,2033.0,778.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-08,1348.0,2039.0,782.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-09,1350.0,2047.0,784.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-10,1342.0,2041.0,779.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-11,1356.0,2076.0,785.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-12,1357.0,2080.0,786.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-13,1335.0,2073.0,777.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-14,1208.0,1869.0,703.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-15,1209.0,1859.0,702.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-16,1206.0,1852.0,699.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-17,1171.0,1788.0,675.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-18,1167.0,1782.0,673.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-19,1142.0,1764.0,661.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-20,1132.0,1847.0,689.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-21,1132.0,1846.0,689.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-22,1134.0,1851.0,691.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-23,1112.0,1927.0,681.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-24,,,,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-25,,,,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-26,,,,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-27,,,,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-28,1256.0,1951.0,728.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-29,1266.0,1959.0,731.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-30,1385.0,2167.0,800.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-03-31,1397.0,2172.0,811.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-04-01,1429.0,2220.0,826.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-04-02,1428.0,2224.0,826.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-04-03,1430.0,2229.0,827.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-04-04,1435.0,2236.0,830.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-04-05,1440.0,2244.0,833.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-04-06,1448.0,2266.0,839.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-04-07,1417.0,2258.0,816.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-04-08,1419.0,2263.0,817.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-04-09,1417.0,2264.0,815.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-04-10,1429.0,2314.0,818.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-04-11,1408.0,2301.0,809.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-04-12,1449.0,2370.0,829.0,MODIS/006/MCD43A4
-104.7682657986495,40.83965860428375,2016-04-13,1447.0,2371.0,827.0,MODIS/006/MCD43A4
