longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-104.73682476370531,40.81720072218076,2018-01-01,1492.0,2150.0,846.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-02,1495.0,2156.0,847.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-03,1497.0,2159.0,848.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-04,1424.0,2050.0,807.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-05,1424.0,2051.0,807.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-06,1424.0,2052.0,808.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-07,1418.0,2039.0,805.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-08,1463.0,2089.0,838.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-09,1467.0,2096.0,844.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-10,1418.0,2027.0,822.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-11,1418.0,2027.0,824.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-12,1417.0,2029.0,823.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-13,1415.0,2023.0,826.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-14,1415.0,2024.0,826.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-15,1416.0,2024.0,827.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-16,1412.0,2011.0,828.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-17,1410.0,2008.0,827.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-18,1411.0,2009.0,828.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-19,1413.0,2010.0,829.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-20,1399.0,1994.0,818.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-21,1400.0,1994.0,819.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-22,,,,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-23,,,,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-24,,,,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-25,,,,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-26,1363.0,1931.0,814.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-27,1394.0,1994.0,825.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-28,1395.0,1994.0,825.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-29,1389.0,1989.0,818.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-30,1409.0,2000.0,837.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-01-31,1420.0,2014.0,841.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-01,,,,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-02,,,,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-03,1427.0,2023.0,845.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-04,1429.0,2024.0,846.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-05,1431.0,2025.0,848.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-06,1432.0,2026.0,849.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-07,1375.0,1951.0,807.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-08,1421.0,2006.0,839.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-09,1459.0,2083.0,861.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-10,7836.0,7559.0,7761.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-11,8119.0,7925.0,7939.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-12,8107.0,7911.0,7922.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-13,8094.0,7896.0,7904.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-14,1462.0,2084.0,864.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-15,1466.0,2091.0,864.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-16,1483.0,2097.0,869.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-17,1490.0,2106.0,873.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-18,1498.0,2116.0,877.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-19,1507.0,2129.0,883.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-20,7338.0,7245.0,7000.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-21,7339.0,7243.0,7001.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-22,7224.0,7160.0,6891.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-23,7213.0,7149.0,6879.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-24,7202.0,7138.0,6868.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-25,7184.0,7121.0,6849.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-26,1491.0,2088.0,888.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-27,1527.0,2134.0,910.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-02-28,1529.0,2140.0,912.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-01,1520.0,2130.0,907.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-02,1523.0,2134.0,909.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-03,1526.0,2140.0,911.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-04,1527.0,2141.0,911.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-05,1530.0,2144.0,913.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-06,1527.0,2144.0,913.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-07,1530.0,2148.0,915.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-08,1528.0,2150.0,912.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-09,1529.0,2163.0,910.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-10,1521.0,2162.0,904.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-11,1582.0,2244.0,932.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-12,1588.0,2254.0,938.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-13,1600.0,2271.0,944.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-14,1606.0,2280.0,947.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-15,1627.0,2317.0,955.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-16,1658.0,2369.0,974.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-17,1679.0,2402.0,984.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-18,1688.0,2412.0,989.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-19,1698.0,2416.0,996.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-20,1720.0,2455.0,1006.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-21,1726.0,2464.0,1010.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-22,1764.0,2526.0,1023.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-23,1771.0,2550.0,1022.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-24,1741.0,2473.0,1012.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-25,1753.0,2486.0,1023.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-26,1757.0,2495.0,1021.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-27,1688.0,2413.0,983.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-28,1691.0,2418.0,985.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-29,1694.0,2422.0,987.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-30,1697.0,2426.0,989.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-03-31,1682.0,2402.0,983.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-01,1680.0,2397.0,979.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-02,1685.0,2404.0,982.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-03,1653.0,2369.0,963.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-04,1617.0,2322.0,942.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-05,1591.0,2296.0,921.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-06,1593.0,2299.0,922.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-07,1599.0,2315.0,927.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-08,1600.0,2315.0,927.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-09,1596.0,2317.0,925.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-10,1601.0,2323.0,928.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-11,1556.0,2291.0,908.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-12,1557.0,2293.0,908.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-13,1551.0,2306.0,906.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-14,1554.0,2311.0,908.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-15,1540.0,2305.0,900.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-16,1548.0,2327.0,904.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-17,1549.0,2330.0,905.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-18,1549.0,2338.0,909.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-19,1539.0,2335.0,903.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-20,1548.0,2345.0,912.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-21,1549.0,2369.0,916.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-22,1550.0,2378.0,915.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-23,1541.0,2378.0,908.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-24,1544.0,2381.0,910.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-25,1547.0,2384.0,913.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-26,1563.0,2386.0,923.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-27,1504.0,2374.0,885.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-28,1505.0,2377.0,885.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-29,1497.0,2374.0,880.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-04-30,1497.0,2376.0,880.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-05-01,1489.0,2397.0,875.0,MODIS/006/MCD43A4
-104.73682476370531,40.81720072218076,2018-05-02,1457.0,2412.0,857.0,MODIS/006/MCD43A4
