longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-104.7592826458083,40.83516702786315,2016-01-01,7417.0,7260.0,7012.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-02,7404.0,7248.0,6999.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-03,7595.0,7438.0,7233.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-04,7644.0,7485.0,7220.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-05,7595.0,7435.0,7143.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-06,7602.0,7437.0,7192.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-07,7558.0,7394.0,7145.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-08,7575.0,7410.0,7162.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-09,7614.0,7451.0,7223.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-10,7692.0,7534.0,7245.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-11,7816.0,7660.0,7415.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-12,7774.0,7628.0,7339.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-13,8033.0,7858.0,7608.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-14,8017.0,7841.0,7596.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-15,8019.0,7843.0,7600.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-16,7502.0,7405.0,7176.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-17,7507.0,7410.0,7183.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-18,7512.0,7414.0,7191.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-19,7125.0,7068.0,6740.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-20,7129.0,7072.0,6745.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-21,1347.0,1834.0,777.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-22,1360.0,1846.0,780.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-23,1360.0,1846.0,780.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-24,1360.0,1846.0,781.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-25,1361.0,1846.0,781.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-26,1361.0,1846.0,782.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-27,1358.0,1843.0,780.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-28,1356.0,1840.0,778.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-29,1357.0,1841.0,779.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-30,1358.0,1842.0,780.0,MODIS/006/MCD43A4
-104.7592826458083,40.83516702786315,2016-01-31,1359.0,1842.0,781.0,MODIS/006/MCD43A4
