longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-72.18187886721385,50.6941772710749,2015-01-01,2658.0,3370.0,2968.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-02,2644.0,3359.0,2951.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-03,2719.0,3436.0,2996.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-04,2723.0,3438.0,3000.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-05,2726.0,3441.0,3004.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-06,2715.0,3368.0,3037.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-07,2717.0,3368.0,3040.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-08,2623.0,3272.0,2923.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-09,2629.0,3277.0,2929.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-10,2760.0,3427.0,3043.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-11,2763.0,3429.0,3047.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-12,2898.0,3517.0,3226.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-13,2898.0,3517.0,3227.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-14,2739.0,3402.0,3024.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-15,2770.0,3394.0,3079.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-16,2769.0,3396.0,3076.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-17,2794.0,3424.0,3083.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-18,2784.0,3415.0,3072.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-19,2756.0,3397.0,3048.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-20,2712.0,3319.0,3024.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-21,2704.0,3313.0,3014.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-22,2719.0,3362.0,2999.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-23,2718.0,3362.0,2998.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-24,2720.0,3300.0,3021.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-25,2719.0,3299.0,3021.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-26,2761.0,3315.0,3079.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-27,2762.0,3314.0,3081.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-28,2766.0,3318.0,3085.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-29,2785.0,3312.0,3114.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-30,2892.0,3368.0,3257.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-01-31,2883.0,3375.0,3231.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-01,2897.0,3397.0,3236.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-02,2942.0,3450.0,3266.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-03,2942.0,3451.0,3264.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-04,2951.0,3428.0,3287.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-05,3003.0,3486.0,3327.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-06,2789.0,3153.0,3190.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-07,2926.0,3284.0,3321.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-08,2938.0,3296.0,3323.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-09,2988.0,3359.0,3348.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-10,2991.0,3362.0,3351.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-11,3087.0,3463.0,3432.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-12,3092.0,3467.0,3437.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-13,3184.0,3557.0,3497.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-14,3288.0,3661.0,3581.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-15,3287.0,3659.0,3581.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-16,3286.0,3657.0,3578.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-17,3323.0,3699.0,3608.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-18,3449.0,3812.0,3720.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-19,3454.0,3816.0,3724.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-20,3459.0,3820.0,3727.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-21,3458.0,3817.0,3727.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-22,3458.0,3806.0,3731.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-23,3412.0,3773.0,3682.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-24,3324.0,3694.0,3579.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-25,3069.0,3666.0,3348.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-26,3064.0,3661.0,3345.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-27,2972.0,3552.0,3248.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-02-28,2968.0,3548.0,3246.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-03-01,3043.0,3553.0,3363.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-03-02,2882.0,3441.0,3195.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-03-03,2879.0,3439.0,3194.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-03-04,2880.0,3441.0,3196.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-03-05,2881.0,3443.0,3199.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-03-06,3237.0,3831.0,3514.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-03-07,3189.0,3798.0,3449.0,MODIS/006/MCD43A4
-72.18187886721385,50.6941772710749,2015-03-08,3635.0,4179.0,3775.0,MODIS/006/MCD43A4
