longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-6.434183222506073,36.999360764672794,2017-01-01,242,244,128,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-02,295,341,159,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-03,249,279,133,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-04,283,291,150,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-05,281,296,134,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-06,283,297,136,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-07,300,320,157,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-08,298,319,159,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-09,308,324,163,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-10,302,361,159,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-11,313,356,161,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-12,291,311,149,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-13,319,399,159,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-14,298,303,155,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-15,319,407,158,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-16,316,342,164,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-17,309,322,163,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-18,336,425,165,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-19,316,328,161,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-20,314,308,163,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-21,317,281,166,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-22,324,311,167,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-23,332,319,173,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-24,318,245,174,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-25,327,281,170,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-26,334,284,175,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-27,333,293,165,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-28,333,286,168,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-29,362,231,192,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-30,331,319,167,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-01-31,329,311,169,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-01,343,351,176,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-02,351,356,179,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-03,370,367,187,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-04,370,368,187,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-05,352,383,182,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-06,331,361,171,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-07,346,375,173,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-08,339,376,168,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-09,338,376,168,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-10,390,393,192,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-11,391,391,192,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-12,391,389,192,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-13,372,322,181,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-14,392,384,192,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-15,554,429,289,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-16,557,430,291,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-17,305,198,154,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-18,644,410,344,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-19,650,419,347,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-20,656,428,350,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-21,662,437,353,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-22,669,988,351,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-23,373,379,209,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-24,370,375,208,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-25,367,371,207,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-26,357,438,204,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-27,347,367,196,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-02-28,354,624,191,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-01,299,670,172,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-02,326,624,174,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-03,274,539,146,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-04,273,536,149,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-05,279,570,150,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-06,277,613,149,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-07,279,574,151,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-08,279,576,150,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-09,280,579,150,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-10,283,613,153,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-11,312,736,166,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-12,334,776,178,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-13,341,833,179,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-14,343,841,180,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-15,348,885,183,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-16,362,993,194,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-17,407,1117,217,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-18,426,1271,232,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-19,420,1277,228,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-20,419,1282,228,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-21,432,1373,232,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-22,442,1342,239,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-23,441,1344,238,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-24,453,1386,245,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-25,457,1389,246,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-26,467,1410,250,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-27,472,1449,253,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-28,493,1521,264,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-29,511,1597,271,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-30,518,1630,275,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-03-31,538,1665,287,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-01,575,1803,311,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-02,567,1778,305,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-03,577,1809,310,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-04,586,1852,315,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-05,580,1861,312,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-06,598,1915,323,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-07,589,1947,316,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-08,576,1961,307,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-09,575,1986,309,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-10,570,1985,308,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-11,560,2041,305,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-12,558,2059,305,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-13,549,2123,300,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-14,546,2137,301,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-15,566,2185,304,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-16,563,2195,300,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-17,572,2200,304,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-18,568,2223,301,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-19,567,2236,298,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-20,569,2253,297,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-21,574,2262,298,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-22,576,2263,297,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-23,577,2279,299,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-24,507,2256,264,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-25,500,2208,261,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-26,513,2214,262,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-27,503,2200,256,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-28,494,2199,247,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-29,473,2163,227,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-04-30,447,2164,216,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-05-01,419,2126,223,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-05-02,397,2140,190,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-05-03,396,2144,190,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-05-04,372,2134,176,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-05-05,368,2139,176,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-05-06,379,2162,182,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-05-07,387,2175,186,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-05-08,389,2177,187,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-05-09,399,2149,196,MODIS/006/MCD43A4
-6.434183222506073,36.999360764672794,2017-05-10,394,2152,194,MODIS/006/MCD43A4
