longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-79.09890655493417,35.97528134077654,2013-01-01,386.0,1450.0,186.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-02,386.0,1450.0,186.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-03,386.0,1451.0,186.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-04,386.0,1451.0,186.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-05,360.0,1372.0,188.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-06,360.0,1372.0,188.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-07,359.0,1371.0,189.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-08,357.0,1366.0,189.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-09,357.0,1365.0,189.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-10,357.0,1364.0,189.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-11,358.0,1332.0,196.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-12,341.0,1408.0,164.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-13,339.0,1421.0,162.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-14,348.0,1443.0,173.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-15,344.0,1446.0,174.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-16,361.0,1464.0,188.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-17,361.0,1467.0,188.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-18,362.0,1469.0,188.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-19,362.0,1472.0,188.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-20,363.0,1473.0,189.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-21,371.0,1496.0,190.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-22,372.0,1497.0,190.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-23,374.0,1498.0,191.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-24,381.0,1519.0,196.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-25,387.0,1520.0,199.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-26,378.0,1472.0,195.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-27,376.0,1472.0,194.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-28,388.0,1464.0,205.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-29,387.0,1460.0,206.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-30,388.0,1470.0,201.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-01-31,391.0,1470.0,203.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-01,379.0,1459.0,194.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-02,395.0,1472.0,203.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-03,396.0,1474.0,204.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-04,397.0,1477.0,205.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-05,404.0,1488.0,205.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-06,405.0,1491.0,206.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-07,408.0,1494.0,207.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-08,414.0,1512.0,213.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-09,415.0,1494.0,213.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-10,413.0,1480.0,217.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-11,452.0,1578.0,231.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-12,454.0,1581.0,233.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-13,455.0,1549.0,231.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-14,452.0,1550.0,233.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-15,462.0,1554.0,241.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-16,464.0,1556.0,242.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-17,453.0,1556.0,240.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-18,449.0,1560.0,237.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-19,449.0,1560.0,238.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-20,453.0,1577.0,239.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-21,452.0,1578.0,238.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-22,453.0,1581.0,239.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-23,454.0,1585.0,240.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-24,465.0,1632.0,240.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-25,473.0,1643.0,242.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-26,471.0,1650.0,236.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-27,467.0,1648.0,235.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-02-28,469.0,1654.0,236.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-01,470.0,1689.0,236.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-02,474.0,1690.0,238.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-03,485.0,1683.0,243.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-04,487.0,1685.0,244.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-05,498.0,1703.0,247.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-06,509.0,1737.0,255.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-07,498.0,1751.0,254.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-08,501.0,1757.0,256.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-09,503.0,1762.0,258.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-10,505.0,1767.0,259.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-11,507.0,1774.0,260.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-12,502.0,1753.0,264.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-13,503.0,1774.0,269.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-14,502.0,1779.0,268.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-15,510.0,1773.0,272.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-16,512.0,1777.0,273.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-17,518.0,1783.0,278.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-18,522.0,1796.0,279.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-19,518.0,1814.0,279.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-20,509.0,1796.0,274.0,MODIS/006/MCD43A4
-79.09890655493417,35.97528134077654,2013-03-21,522.0,1799.0,278.0,MODIS/006/MCD43A4
