longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-118.58884644482833,36.45138844135988,2013-01-01,,,,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-02,,,,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-03,,,,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-04,,,,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-05,,,,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-06,,,,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-07,,,,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-08,,,,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-09,,,,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-10,,,,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-11,,,,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-12,4221.0,4573.0,4097.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-13,4213.0,4566.0,4091.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-14,4205.0,4559.0,4085.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-15,4178.0,4536.0,4055.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-16,4202.0,4552.0,4069.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-17,4209.0,4557.0,4076.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-18,4215.0,4563.0,4083.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-19,4222.0,4568.0,4090.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-20,4229.0,4573.0,4097.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-21,4235.0,4579.0,4103.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-22,4242.0,4584.0,4110.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-23,2882.0,4296.0,3661.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-24,3117.0,3415.0,2802.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-25,,,,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-26,,,,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-27,,,,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-28,1852.0,2270.0,1738.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-29,1853.0,2270.0,1739.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-30,1854.0,2271.0,1740.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-01-31,1855.0,2272.0,1741.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-01,1843.0,2261.0,1733.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-02,1831.0,2250.0,1724.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-03,1819.0,2239.0,1715.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-04,1807.0,2228.0,1707.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-05,1808.0,2229.0,1708.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-06,1810.0,2230.0,1710.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-07,1812.0,2232.0,1712.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-08,1814.0,2234.0,1714.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-09,1508.0,1988.0,1559.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-10,1508.0,1990.0,1563.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-11,1508.0,1992.0,1568.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-12,1509.0,1994.0,1573.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-13,1864.0,2425.0,1951.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-14,1865.0,2426.0,1953.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-15,,,,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-16,,,,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-17,,,,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-18,1900.0,2459.0,1976.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-19,1908.0,2467.0,1981.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-20,1917.0,2475.0,1987.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-21,1731.0,2238.0,1960.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-22,1521.0,2045.0,1565.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-23,1529.0,2270.0,1507.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-24,1530.0,2261.0,1509.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-25,1532.0,2252.0,1512.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-26,1597.0,2108.0,1587.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-27,1598.0,2110.0,1589.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-02-28,1600.0,2112.0,1591.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-03-01,1595.0,2485.0,1585.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-03-02,1601.0,2487.0,1592.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-03-03,1607.0,2490.0,1600.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-03-04,1614.0,2493.0,1608.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-03-05,1621.0,2496.0,1617.0,MODIS/006/MCD43A4
-118.58884644482833,36.45138844135988,2013-03-06,1623.0,2499.0,1620.0,MODIS/006/MCD43A4
