longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-98.0084432856501,29.92961947865216,2012-01-01,597.0,2072.0,326.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-02,598.0,2073.0,327.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-03,599.0,2073.0,328.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-04,605.0,2087.0,329.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-05,607.0,2092.0,329.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-06,611.0,2096.0,330.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-07,620.0,2116.0,334.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-08,624.0,2120.0,335.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-09,628.0,2120.0,338.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-10,659.0,2212.0,351.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-11,654.0,2224.0,351.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-12,659.0,2222.0,354.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-13,660.0,2217.0,353.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-14,661.0,2224.0,354.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-15,674.0,2310.0,350.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-16,682.0,2337.0,349.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-17,683.0,2341.0,350.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-18,683.0,2346.0,351.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-19,654.0,2277.0,351.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-20,652.0,2273.0,354.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-21,652.0,2278.0,356.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-22,653.0,2284.0,360.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-23,651.0,2275.0,362.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-24,651.0,2278.0,363.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-25,652.0,2281.0,363.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-26,621.0,2191.0,345.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-27,614.0,2165.0,345.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-28,618.0,2181.0,348.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-29,619.0,2186.0,349.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-30,621.0,2190.0,350.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-01-31,622.0,2195.0,351.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-01,623.0,2200.0,352.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-02,624.0,2204.0,353.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-03,626.0,2209.0,354.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-04,645.0,2224.0,359.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-05,650.0,2235.0,361.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-06,650.0,2241.0,360.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-07,625.0,2266.0,350.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-08,627.0,2272.0,351.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-09,629.0,2277.0,352.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-10,631.0,2283.0,354.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-11,632.0,2288.0,355.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-12,627.0,2304.0,348.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-13,628.0,2312.0,350.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-14,630.0,2319.0,351.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-15,632.0,2325.0,352.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-16,633.0,2332.0,353.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-17,635.0,2338.0,354.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-18,651.0,2374.0,358.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-19,655.0,2447.0,347.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-20,658.0,2475.0,347.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-21,661.0,2484.0,349.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-22,663.0,2493.0,350.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-23,665.0,2513.0,347.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-24,668.0,2523.0,349.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-25,646.0,2560.0,341.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-26,640.0,2480.0,335.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-27,630.0,2507.0,332.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-28,630.0,2529.0,332.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-02-29,631.0,2534.0,333.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-01,631.0,2539.0,333.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-02,632.0,2544.0,334.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-03,632.0,2548.0,334.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-04,633.0,2556.0,335.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-05,598.0,2558.0,318.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-06,589.0,2560.0,315.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-07,590.0,2566.0,316.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-08,592.0,2572.0,316.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-09,593.0,2578.0,317.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-10,594.0,2584.0,318.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-11,596.0,2590.0,318.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-12,585.0,2626.0,313.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-13,592.0,2642.0,316.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-14,571.0,2691.0,303.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-15,560.0,2746.0,293.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-16,551.0,2777.0,288.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-17,546.0,2837.0,285.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-18,537.0,2870.0,281.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-19,533.0,2895.0,279.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-20,535.0,2893.0,280.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-21,527.0,2912.0,275.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-22,529.0,2920.0,276.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-23,517.0,2984.0,271.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-24,511.0,3036.0,269.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-25,507.0,3058.0,267.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-26,509.0,3066.0,268.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-27,510.0,3076.0,268.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-28,509.0,3083.0,271.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-29,511.0,3084.0,272.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-30,514.0,3116.0,277.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-03-31,504.0,3115.0,274.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-04-01,501.0,3134.0,274.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-04-02,502.0,3137.0,274.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-04-03,507.0,3140.0,277.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-04-04,501.0,3196.0,274.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-04-05,503.0,3201.0,275.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-04-06,504.0,3205.0,276.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-04-07,506.0,3210.0,277.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-04-08,515.0,3169.0,283.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-04-09,529.0,3122.0,293.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-04-10,540.0,3070.0,300.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-04-11,563.0,3027.0,316.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-04-12,562.0,2984.0,313.0,MODIS/006/MCD43A4
-98.0084432856501,29.92961947865216,2012-04-13,588.0,2860.0,326.0,MODIS/006/MCD43A4
