longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-71.46771821633884,48.96492034914482,2015-01-01,4414.0,4958.0,4288.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-02,4425.0,4967.0,4298.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-03,4474.0,4999.0,4396.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-04,4488.0,5010.0,4408.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-05,4502.0,5022.0,4419.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-06,4611.0,5110.0,4500.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-07,4351.0,4965.0,4100.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-08,4408.0,5018.0,4140.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-09,4401.0,5014.0,4132.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-10,4383.0,5004.0,4109.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-11,4374.0,4999.0,4097.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-12,4795.0,5374.0,4116.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-13,4798.0,5376.0,4116.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-14,4412.0,5051.0,4139.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-15,4332.0,5002.0,4052.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-16,4343.0,5013.0,4064.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-17,4354.0,5025.0,4075.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-18,4366.0,5037.0,4088.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-19,4350.0,5033.0,4052.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-20,4410.0,5074.0,4144.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-21,4313.0,5018.0,4043.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-22,4321.0,4992.0,4154.0,MODIS/006/MCD43A4
-71.46771821633884,48.96492034914482,2015-01-23,4420.0,5063.0,4323.0,MODIS/006/MCD43A4
