longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-81.28181269534461,31.443280732393553,2013-01-01,409.0,713.0,240.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-02,409.0,713.0,239.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-03,408.0,714.0,238.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-04,423.0,707.0,226.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-05,432.0,667.0,243.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-06,434.0,666.0,245.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-07,434.0,580.0,274.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-08,417.0,543.0,317.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-09,429.0,625.0,338.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-10,430.0,622.0,338.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-11,432.0,642.0,361.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-12,427.0,639.0,310.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-13,445.0,561.0,228.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-14,456.0,523.0,327.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-15,455.0,524.0,325.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-16,453.0,536.0,209.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-17,452.0,537.0,206.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-18,452.0,538.0,204.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-19,434.0,558.0,211.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-20,422.0,549.0,198.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-21,410.0,531.0,260.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-22,410.0,534.0,263.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-23,406.0,570.0,253.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-24,433.0,631.0,275.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-25,428.0,634.0,270.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-26,428.0,646.0,271.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-27,429.0,653.0,265.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-28,430.0,657.0,264.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-29,427.0,658.0,272.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-30,425.0,674.0,266.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-01-31,426.0,675.0,266.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-01,424.0,667.0,266.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-02,432.0,697.0,268.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-03,432.0,698.0,268.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-04,437.0,705.0,269.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-05,443.0,716.0,280.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-06,443.0,658.0,253.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-07,449.0,755.0,241.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-08,449.0,739.0,249.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-09,445.0,725.0,244.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-10,447.0,708.0,252.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-11,440.0,769.0,242.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-12,436.0,783.0,241.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-13,430.0,808.0,235.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-14,435.0,824.0,238.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-15,440.0,814.0,253.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-16,441.0,815.0,255.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-17,446.0,802.0,255.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-18,445.0,802.0,254.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-19,446.0,803.0,255.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-20,448.0,803.0,256.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-21,458.0,802.0,255.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-22,469.0,806.0,274.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-23,472.0,806.0,275.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-24,482.0,828.0,267.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-25,469.0,787.0,261.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-26,461.0,802.0,253.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-27,496.0,818.0,275.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-02-28,496.0,818.0,261.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-01,521.0,855.0,296.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-02,520.0,847.0,311.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-03,543.0,842.0,317.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-04,546.0,844.0,318.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-05,556.0,857.0,323.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-06,563.0,854.0,324.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-07,559.0,845.0,317.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-08,560.0,854.0,317.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-09,566.0,858.0,324.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-10,569.0,858.0,325.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-11,571.0,858.0,326.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-12,573.0,859.0,321.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-13,580.0,878.0,325.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-14,585.0,884.0,325.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-15,585.0,873.0,324.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-16,587.0,877.0,325.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-17,577.0,837.0,322.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-18,584.0,858.0,327.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-19,582.0,896.0,332.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-20,578.0,912.0,331.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-21,559.0,906.0,326.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-22,549.0,941.0,336.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-23,571.0,967.0,349.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-24,574.0,976.0,352.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-25,576.0,979.0,354.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-26,594.0,984.0,367.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-27,596.0,985.0,369.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-28,581.0,986.0,374.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-29,584.0,987.0,378.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-30,584.0,989.0,368.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-03-31,598.0,1001.0,397.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-01,591.0,998.0,384.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-02,605.0,1012.0,388.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-03,588.0,1002.0,344.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-04,580.0,995.0,336.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-05,578.0,998.0,333.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-06,610.0,1013.0,322.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-07,616.0,1013.0,348.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-08,602.0,1013.0,347.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-09,592.0,1008.0,318.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-10,591.0,1007.0,317.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-11,591.0,1031.0,309.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-12,594.0,1032.0,309.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-13,596.0,1034.0,310.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-14,599.0,1035.0,311.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-15,609.0,1036.0,295.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-16,608.0,1032.0,296.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-17,607.0,1035.0,322.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-18,595.0,1018.0,303.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-19,644.0,1068.0,400.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-20,647.0,1022.0,430.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-21,671.0,1032.0,453.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-22,649.0,1012.0,468.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-23,673.0,1030.0,469.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-24,675.0,1028.0,470.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-25,675.0,1035.0,475.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-26,678.0,1036.0,480.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-27,666.0,1009.0,460.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-28,661.0,992.0,459.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-29,660.0,985.0,461.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-04-30,660.0,984.0,462.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-01,648.0,980.0,432.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-02,648.0,979.0,432.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-03,660.0,958.0,452.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-04,660.0,957.0,452.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-05,663.0,923.0,455.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-06,660.0,957.0,432.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-07,624.0,963.0,409.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-08,624.0,1054.0,383.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-09,626.0,1058.0,384.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-10,627.0,1062.0,386.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-11,629.0,1066.0,387.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-12,630.0,1070.0,389.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-13,632.0,1073.0,390.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-14,638.0,1122.0,399.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-15,634.0,1152.0,383.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-16,636.0,1152.0,385.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-17,643.0,1175.0,400.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-18,652.0,1201.0,398.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-19,651.0,1185.0,397.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-20,654.0,1167.0,398.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-21,656.0,1168.0,399.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-22,689.0,1205.0,405.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-23,691.0,1218.0,397.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-24,718.0,1216.0,445.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-25,721.0,1216.0,446.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-26,724.0,1215.0,448.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-27,727.0,1215.0,450.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-28,731.0,1217.0,453.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-29,735.0,1220.0,455.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-30,743.0,1217.0,447.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-05-31,744.0,1217.0,450.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-01,745.0,1217.0,450.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-02,711.0,1272.0,487.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-03,761.0,1264.0,471.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-04,634.0,1332.0,363.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-05,700.0,1437.0,356.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-06,696.0,1441.0,352.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-07,553.0,1462.0,234.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-08,554.0,1465.0,234.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-09,554.0,1526.0,142.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-10,551.0,1526.0,143.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-11,548.0,1527.0,143.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-12,549.0,1527.0,143.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-13,550.0,1528.0,143.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-14,550.0,1528.0,143.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-15,551.0,1528.0,143.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-16,552.0,1529.0,143.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-17,552.0,1529.0,143.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-18,487.0,1547.0,143.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-19,487.0,1547.0,143.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-20,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-21,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-22,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-23,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-24,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-25,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-26,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-27,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-28,715.0,1295.0,564.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-29,715.0,1295.0,564.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-06-30,715.0,1295.0,564.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-01,714.0,1295.0,563.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-02,714.0,1295.0,563.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-03,695.0,1299.0,615.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-04,695.0,1299.0,616.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-05,694.0,1299.0,616.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-06,692.0,1299.0,605.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-07,691.0,1299.0,595.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-08,689.0,1299.0,585.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-09,687.0,1299.0,575.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-10,685.0,1299.0,566.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-11,654.0,1299.0,430.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-12,692.0,1346.0,599.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-13,694.0,1387.0,421.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-14,681.0,1426.0,347.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-15,681.0,1429.0,344.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-16,681.0,1432.0,342.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-17,680.0,1435.0,339.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-18,680.0,1438.0,336.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-19,759.0,1369.0,853.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-20,760.0,1363.0,844.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-21,760.0,1357.0,835.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-22,761.0,1351.0,826.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-23,762.0,1344.0,818.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-24,762.0,1338.0,809.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-25,763.0,1332.0,800.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-26,764.0,1326.0,792.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-27,874.0,1327.0,790.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-28,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-29,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-30,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-07-31,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-01,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-02,652.0,955.0,450.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-03,659.0,951.0,450.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-04,591.0,1360.0,402.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-05,589.0,1359.0,400.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-06,511.0,1059.0,407.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-07,536.0,1330.0,382.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-08,534.0,1329.0,380.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-09,533.0,1329.0,379.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-10,531.0,1334.0,377.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-11,528.0,1335.0,375.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-12,525.0,1331.0,372.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-13,522.0,1328.0,369.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-14,519.0,1325.0,366.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-15,518.0,1323.0,364.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-16,516.0,1322.0,362.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-17,515.0,1320.0,361.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-18,424.0,1422.0,364.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-19,362.0,1354.0,310.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-20,522.0,1271.0,409.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-21,522.0,1271.0,410.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-22,544.0,1039.0,412.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-23,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-24,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-25,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-26,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-27,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-28,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-29,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-30,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-08-31,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-01,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-02,538.0,775.0,562.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-03,534.0,775.0,555.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-04,529.0,774.0,549.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-05,499.0,805.0,512.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-06,497.0,804.0,508.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-07,495.0,803.0,504.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-08,492.0,802.0,500.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-09,490.0,801.0,496.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-10,490.0,801.0,494.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-11,490.0,801.0,492.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-12,490.0,801.0,490.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-13,487.0,800.0,486.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-14,484.0,799.0,481.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-15,482.0,798.0,477.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-16,479.0,797.0,472.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-17,476.0,796.0,468.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-18,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-19,,,,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-20,466.0,791.0,284.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-21,455.0,1223.0,249.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-22,480.0,1253.0,248.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-23,477.0,1251.0,246.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-24,466.0,1210.0,220.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-25,456.0,1288.0,230.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-26,454.0,1288.0,230.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-27,351.0,1180.0,232.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-28,372.0,1122.0,246.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-29,370.0,1120.0,244.0,MODIS/006/MCD43A4
-81.28181269534461,31.443280732393553,2013-09-30,384.0,1105.0,247.0,MODIS/006/MCD43A4
