longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-92.11998659824664,39.227182669289206,2015-01-01,1014.0,1822.0,590.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-02,1013.0,1820.0,590.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-03,1146.0,1989.0,647.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-04,1148.0,1992.0,649.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-05,1160.0,2013.0,649.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-06,1206.0,2076.0,673.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-07,1220.0,2090.0,682.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-08,1288.0,2162.0,707.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-09,1293.0,2166.0,703.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-10,1294.0,2168.0,703.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-11,1297.0,2178.0,701.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-12,1281.0,2136.0,696.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-13,1282.0,2137.0,696.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-14,1250.0,2088.0,680.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-15,1250.0,2086.0,680.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-16,1260.0,2107.0,676.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-17,1248.0,2095.0,669.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-18,1246.0,2092.0,668.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-19,1206.0,2037.0,647.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-20,1197.0,2029.0,646.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-21,1196.0,2017.0,648.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-22,1180.0,1986.0,639.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-23,1172.0,1983.0,634.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-24,1128.0,1930.0,613.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-25,1131.0,1935.0,614.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-26,1130.0,1935.0,613.0,MODIS/006/MCD43A4
-92.11998659824664,39.227182669289206,2015-01-27,1124.0,1921.0,613.0,MODIS/006/MCD43A4
