longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-110.5758741104822,43.91638845239311,2015-01-01,4117.0,5079.0,4364.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-02,4141.0,5044.0,4427.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-03,4305.0,5111.0,4555.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-04,4111.0,4928.0,4392.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-05,4117.0,4926.0,4396.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-06,3941.0,4916.0,4170.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-07,3929.0,4988.0,4110.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-08,4298.0,5074.0,4402.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-09,4268.0,5086.0,4405.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-10,4220.0,5034.0,4362.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-11,4208.0,5031.0,4349.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-12,4195.0,5140.0,4279.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-13,4208.0,5157.0,4286.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-14,4606.0,5428.0,4641.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-15,4670.0,5453.0,4663.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-16,4706.0,5469.0,4693.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-17,4743.0,5485.0,4724.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-18,4777.0,5501.0,4751.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-19,4880.0,5590.0,4833.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-20,5616.0,6173.0,5452.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-21,5641.0,6182.0,5473.0,MODIS/006/MCD43A4
-110.5758741104822,43.91638845239311,2015-01-22,5934.0,6264.0,5725.0,MODIS/006/MCD43A4
