longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-68.74133132903609,45.205470885104624,2007-01-01,272.0,1675.0,105.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-02,272.0,1676.0,105.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-03,267.0,1821.0,131.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-04,260.0,1816.0,131.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-05,261.0,1820.0,130.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-06,273.0,1835.0,135.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-07,292.0,1873.0,138.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-08,292.0,1874.0,138.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-09,217.0,1791.0,124.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-10,218.0,1794.0,125.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-11,218.0,1796.0,125.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-12,214.0,1785.0,118.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-13,215.0,1787.0,118.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-14,201.0,1829.0,117.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-15,201.0,1832.0,117.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-16,237.0,1929.0,128.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-17,237.0,1933.0,128.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-18,240.0,1929.0,122.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-19,249.0,1951.0,123.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-20,236.0,1969.0,134.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-21,236.0,1975.0,134.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-22,252.0,1962.0,126.0,MODIS/006/MCD43A4
-68.74133132903609,45.205470885104624,2007-01-23,234.0,1953.0,126.0,MODIS/006/MCD43A4
