longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-71.77763698936008,42.95968267480582,2012-01-01,435.0,1734.0,190.0,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-02,425.0,1736.0,181.0,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-03,425.0,1739.0,181.0,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-04,427.0,1739.0,183.0,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-05,428.0,1742.0,183.0,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-06,429.0,1745.0,184.0,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-07,430.0,1766.0,182.0,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-08,431.0,1767.0,182.0,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-09,431.0,1769.0,182.0,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-10,433.0,1796.0,202.0,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-11,434.0,1797.0,202.0,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-12,453.0,1835.0,211.0,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-13,,,,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-14,,,,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-15,,,,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-16,,,,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-17,,,,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-18,,,,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-19,,,,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-20,,,,MODIS/006/MCD43A4
-71.77763698936008,42.95968267480582,2012-01-21,,,,MODIS/006/MCD43A4
