longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-149.29775443245418,68.60658403641816,2012-01-01,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-02,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-03,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-04,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-05,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-06,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-07,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-08,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-09,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-10,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-11,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-12,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-13,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-14,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-15,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-16,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-17,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-18,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-19,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-20,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-21,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-22,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-23,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-24,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-25,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-26,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-27,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-28,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-29,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-30,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-01-31,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-01,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-02,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-03,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-04,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-05,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-06,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-07,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-08,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-09,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-10,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-11,,,,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-12,6372.0,5744.0,7509.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-13,7062.0,6630.0,7924.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-14,7115.0,6647.0,7938.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-15,7104.0,6576.0,7909.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-16,7146.0,6590.0,7920.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-17,7186.0,6603.0,7931.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-18,7223.0,6615.0,7941.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-19,7313.0,6731.0,7998.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-20,7361.0,6760.0,8016.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-21,7389.0,6665.0,8024.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-22,7461.0,6734.0,8063.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-23,7436.0,6795.0,8097.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-24,7269.0,6576.0,8000.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-25,7304.0,6601.0,8015.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-26,7337.0,6624.0,8030.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-27,7540.0,6871.0,8186.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-28,7708.0,7062.0,8343.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-02-29,7658.0,7351.0,8392.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-01,7560.0,7393.0,8313.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-02,7832.0,7402.0,8485.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-03,7886.0,7276.0,8473.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-04,7994.0,7390.0,8513.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-05,8010.0,7400.0,8520.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-06,7854.0,7289.0,8401.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-07,7958.0,7402.0,8453.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-08,7953.0,7320.0,8421.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-09,7970.0,7331.0,8427.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-10,8125.0,7477.0,8466.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-11,8100.0,7447.0,8498.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-12,8109.0,7450.0,8499.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-13,8118.0,7453.0,8500.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-14,7949.0,7346.0,8437.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-15,8703.0,8304.0,8957.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-16,8710.0,8213.0,9047.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-17,8663.0,8213.0,9050.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-18,8669.0,8199.0,9082.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-19,8676.0,8068.0,9083.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-20,8800.0,8288.0,9108.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-21,8807.0,8288.0,9108.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-22,8864.0,8430.0,9159.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-23,8865.0,8482.0,9205.0,MODIS/006/MCD43A4
-149.29775443245418,68.60658403641816,2012-03-24,8870.0,8482.0,9206.0,MODIS/006/MCD43A4
