longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-106.6322700131975,32.57964956680475,2014-01-01,1750.0,2452.0,839.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-02,1751.0,2451.0,839.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-03,1756.0,2457.0,842.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-04,1761.0,2462.0,847.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-05,1765.0,2466.0,849.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-06,1772.0,2477.0,849.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-07,1776.0,2481.0,852.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-08,1784.0,2487.0,858.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-09,1796.0,2500.0,869.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-10,1799.0,2507.0,869.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-11,1803.0,2510.0,871.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-12,1808.0,2515.0,875.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-13,1816.0,2525.0,880.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-14,1820.0,2528.0,882.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-15,1830.0,2543.0,886.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-16,1836.0,2549.0,892.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-17,1861.0,2578.0,911.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-18,1871.0,2593.0,912.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-19,1877.0,2597.0,912.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-20,1885.0,2607.0,914.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-21,1888.0,2609.0,916.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-22,1887.0,2605.0,918.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-23,1890.0,2609.0,919.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-24,1923.0,2650.0,926.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-25,1935.0,2669.0,929.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-26,1941.0,2677.0,933.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-27,1957.0,2705.0,942.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-28,1965.0,2715.0,934.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-29,1967.0,2717.0,937.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-30,1971.0,2722.0,936.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-01-31,1954.0,2688.0,938.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-02-01,1958.0,2687.0,939.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-02-02,1941.0,2667.0,926.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-02-03,1938.0,2659.0,924.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-02-04,1939.0,2660.0,926.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-02-05,1944.0,2665.0,926.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-02-06,1952.0,2673.0,931.0,MODIS/006/MCD43A4
-106.6322700131975,32.57964956680475,2014-02-07,1955.0,2677.0,934.0,MODIS/006/MCD43A4
