longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-155.662318220441,20.016710318393237,2000-02-24,888.0,2778.0,489.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-02-25,995.0,3063.0,510.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-02-26,998.0,3066.0,512.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-02-27,1000.0,3068.0,513.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-02-28,1003.0,3070.0,515.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-02-29,1007.0,3082.0,515.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-01,1011.0,3093.0,516.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-02,1015.0,3105.0,517.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-03,1020.0,3118.0,517.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-04,1029.0,3012.0,521.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-05,1027.0,3004.0,520.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-06,1029.0,2941.0,517.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-07,1027.0,2934.0,516.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-08,1053.0,3008.0,504.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-09,1050.0,2996.0,503.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-10,1047.0,2984.0,503.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-11,1030.0,2902.0,527.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-12,1049.0,2825.0,556.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-13,1017.0,2797.0,526.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-14,1018.0,2800.0,528.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-15,1032.0,2806.0,526.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-16,1033.0,2808.0,527.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-17,1034.0,2811.0,528.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-18,1035.0,2814.0,529.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-19,1037.0,2818.0,529.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-20,1060.0,2860.0,540.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-21,1060.0,2859.0,539.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-22,1064.0,2879.0,545.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-23,1064.0,2879.0,545.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-24,1064.0,2880.0,546.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-25,1064.0,2880.0,546.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-26,1166.0,2931.0,585.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-27,1181.0,2897.0,564.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-28,1153.0,2779.0,540.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-29,1243.0,2818.0,587.0,MODIS/006/MCD43A4
-155.662318220441,20.016710318393237,2000-03-30,1290.0,2926.0,598.0,MODIS/006/MCD43A4
