longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-85.37363881450902,42.39823562223112,2015-01-01,761.0,2535.0,386.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-02,762.0,2537.0,386.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-03,,,,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-04,,,,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-05,,,,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-06,,,,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-07,6660.0,6740.0,6491.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-08,6668.0,6749.0,6502.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-09,6677.0,6758.0,6514.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-10,6686.0,6768.0,6525.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-11,6696.0,6779.0,6537.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-12,6705.0,6789.0,6549.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-13,6715.0,6800.0,6562.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-14,6725.0,6811.0,6574.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-15,6731.0,6823.0,6583.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-16,,,,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-17,,,,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-18,,,,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-19,,,,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-20,,,,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-21,,,,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-22,,,,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-23,,,,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-24,,,,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-25,,,,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-26,6109.0,6026.0,5728.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-27,6110.0,6032.0,5732.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-28,6147.0,6070.0,5769.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-29,6184.0,6109.0,5807.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-30,6221.0,6147.0,5845.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-01-31,6258.0,6186.0,5882.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-01,6295.0,6224.0,5920.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-02,6332.0,6263.0,5958.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-03,6459.0,6276.0,6101.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-04,6469.0,6287.0,6114.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-05,6962.0,6684.0,6599.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-06,6964.0,6686.0,6605.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-07,6966.0,6688.0,6610.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-08,6967.0,6690.0,6616.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-09,6969.0,6692.0,6621.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-10,6970.0,6694.0,6626.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-11,,,,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-12,,,,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-13,6457.0,6375.0,6122.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-14,6472.0,6398.0,6145.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-15,6487.0,6421.0,6168.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-16,6501.0,6444.0,6190.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-17,6616.0,6463.0,6316.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-18,6652.0,6483.0,6299.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-19,6606.0,6507.0,6241.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-20,6732.0,6740.0,6408.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-21,6706.0,6840.0,6402.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-22,6712.0,6851.0,6407.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-23,6613.0,6692.0,6277.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-24,6618.0,6702.0,6281.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-25,6624.0,6713.0,6286.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-26,6627.0,6729.0,6292.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-27,6902.0,7351.0,6781.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-02-28,6634.0,6761.0,6304.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-01,6691.0,6597.0,6320.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-02,6306.0,6213.0,5953.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-03,6307.0,6211.0,5958.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-04,6265.0,6110.0,5911.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-05,6185.0,5977.0,5807.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-06,5976.0,5663.0,5615.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-07,5988.0,5679.0,5627.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-08,6000.0,5695.0,5640.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-09,5579.0,5388.0,5291.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-10,5571.0,5392.0,5286.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-11,5564.0,5395.0,5282.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-12,5563.0,5399.0,5280.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-13,5558.0,5403.0,5278.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-14,5570.0,5419.0,5294.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-15,1032.0,2502.0,518.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-16,1035.0,2508.0,520.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-17,1047.0,2433.0,532.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-18,1049.0,2439.0,533.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-19,1052.0,2444.0,535.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-20,1024.0,2425.0,509.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-21,1016.0,2439.0,495.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-22,1018.0,2447.0,495.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-23,1024.0,2442.0,499.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-24,1027.0,2447.0,500.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-25,1025.0,2462.0,495.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-26,1022.0,2459.0,491.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-27,1024.0,2467.0,492.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-28,1018.0,2457.0,489.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-29,1021.0,2467.0,490.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-30,1025.0,2476.0,492.0,MODIS/006/MCD43A4
-85.37363881450902,42.39823562223112,2015-03-31,1023.0,2458.0,489.0,MODIS/006/MCD43A4
