longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-77.92660510915819,40.72287761734821,2018-01-01,4186.0,4734.0,4150.0,MODIS/006/MCD43A4
-77.92660510915819,40.72287761734821,2018-01-02,4172.0,4725.0,4134.0,MODIS/006/MCD43A4
-77.92660510915819,40.72287761734821,2018-01-03,4157.0,4716.0,4117.0,MODIS/006/MCD43A4
-77.92660510915819,40.72287761734821,2018-01-04,4157.0,4717.0,4117.0,MODIS/006/MCD43A4
-77.92660510915819,40.72287761734821,2018-01-05,4156.0,4718.0,4117.0,MODIS/006/MCD43A4
-77.92660510915819,40.72287761734821,2018-01-06,4156.0,4719.0,4117.0,MODIS/006/MCD43A4
-77.92660510915819,40.72287761734821,2018-01-07,4263.0,4889.0,4183.0,MODIS/006/MCD43A4
-77.92660510915819,40.72287761734821,2018-01-08,4267.0,4896.0,4186.0,MODIS/006/MCD43A4
-77.92660510915819,40.72287761734821,2018-01-09,4270.0,4904.0,4188.0,MODIS/006/MCD43A4
-77.92660510915819,40.72287761734821,2018-01-10,4170.0,4874.0,4036.0,MODIS/006/MCD43A4
-77.92660510915819,40.72287761734821,2018-01-11,5078.0,5685.0,4967.0,MODIS/006/MCD43A4
-77.92660510915819,40.72287761734821,2018-01-12,5434.0,6030.0,5366.0,MODIS/006/MCD43A4
-77.92660510915819,40.72287761734821,2018-01-13,5432.0,6031.0,5366.0,MODIS/006/MCD43A4
-77.92660510915819,40.72287761734821,2018-01-14,5429.0,6032.0,5365.0,MODIS/006/MCD43A4
-77.92660510915819,40.72287761734821,2018-01-15,5453.0,6056.0,5395.0,MODIS/006/MCD43A4
-77.92660510915819,40.72287761734821,2018-01-16,5477.0,6080.0,5425.0,MODIS/006/MCD43A4
-77.92660510915819,40.72287761734821,2018-01-17,5499.0,6103.0,5454.0,MODIS/006/MCD43A4
-77.92660510915819,40.72287761734821,2018-01-18,5522.0,6125.0,5483.0,MODIS/006/MCD43A4
