longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-96.56215567821766,39.083452223830086,2012-01-01,1134.0,1920.0,602.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-02,1145.0,1935.0,604.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-03,1127.0,1918.0,576.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-04,1127.0,1918.0,576.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-05,1103.0,1875.0,563.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-06,1101.0,1870.0,562.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-07,1104.0,1875.0,565.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-08,1101.0,1868.0,565.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-09,1091.0,1852.0,562.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-10,1111.0,1880.0,571.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-11,1111.0,1880.0,571.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-12,1135.0,1913.0,584.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-13,1115.0,1881.0,570.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-14,1157.0,1937.0,600.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-15,1137.0,1896.0,596.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-16,1146.0,1928.0,595.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-17,1177.0,1985.0,611.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-18,1173.0,1982.0,612.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-19,1175.0,1985.0,611.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-20,1175.0,1985.0,612.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-21,1205.0,2042.0,623.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-22,1206.0,2042.0,625.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-23,1212.0,2050.0,626.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-24,1221.0,2067.0,629.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-25,1223.0,2067.0,634.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-26,1220.0,2067.0,636.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-27,1228.0,2080.0,644.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-28,1231.0,2086.0,650.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-29,1225.0,2085.0,633.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-30,1188.0,2028.0,608.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-01-31,1198.0,2045.0,612.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-01,1198.0,2035.0,614.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-02,1198.0,2035.0,614.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-03,1196.0,2031.0,612.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-04,1198.0,2027.0,612.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-05,1201.0,2026.0,610.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-06,1198.0,2016.0,607.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-07,1200.0,2018.0,608.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-08,1202.0,2020.0,608.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-09,1194.0,2002.0,612.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-10,1123.0,1871.0,573.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-11,1142.0,1894.0,594.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-12,1148.0,1893.0,604.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-13,1147.0,1890.0,604.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-14,1143.0,1880.0,612.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-15,1143.0,1874.0,604.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-16,1143.0,1872.0,605.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-17,1141.0,1864.0,607.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-18,1145.0,1877.0,611.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-19,1172.0,1909.0,623.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-20,1170.0,1901.0,625.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-21,1170.0,1900.0,627.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-22,1184.0,1930.0,631.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-23,1194.0,1944.0,636.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-24,1202.0,1968.0,640.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-25,1209.0,1978.0,642.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-26,1240.0,2028.0,659.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-27,1238.0,2031.0,651.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-28,1240.0,2036.0,652.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-02-29,1242.0,2039.0,653.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-01,1226.0,2014.0,645.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-02,1242.0,2043.0,658.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-03,1248.0,2052.0,663.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-04,1264.0,2081.0,669.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-05,1254.0,2067.0,665.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-06,1235.0,2051.0,651.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-07,1240.0,2059.0,652.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-08,1241.0,2061.0,652.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-09,1242.0,2065.0,651.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-10,1242.0,2066.0,652.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-11,1244.0,2066.0,653.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-12,1246.0,2070.0,654.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-13,1249.0,2082.0,652.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-14,1243.0,2076.0,650.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-15,1244.0,2078.0,650.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-16,1245.0,2080.0,651.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-17,1256.0,2115.0,650.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-18,1179.0,2049.0,614.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-19,1169.0,2039.0,608.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-20,1168.0,2040.0,608.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-21,1177.0,2056.0,606.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-22,1151.0,2041.0,600.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-23,1063.0,2053.0,567.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-24,1043.0,2114.0,560.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-25,953.0,2098.0,516.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-26,945.0,2132.0,510.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-27,899.0,2167.0,476.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-28,898.0,2175.0,476.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-29,897.0,2184.0,476.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-30,905.0,2215.0,477.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-03-31,905.0,2223.0,477.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-01,881.0,2265.0,464.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-02,890.0,2277.0,471.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-03,853.0,2358.0,444.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-04,854.0,2366.0,444.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-05,855.0,2375.0,445.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-06,856.0,2383.0,446.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-07,866.0,2385.0,450.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-08,828.0,2479.0,422.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-09,762.0,2447.0,384.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-10,746.0,2512.0,378.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-11,728.0,2545.0,373.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-12,720.0,2580.0,371.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-13,721.0,2621.0,372.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-14,720.0,2626.0,372.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-15,721.0,2581.0,370.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-16,717.0,2615.0,365.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-17,704.0,2680.0,362.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-18,707.0,2706.0,363.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-19,695.0,2751.0,359.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-20,697.0,2759.0,361.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-21,687.0,2850.0,356.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-22,689.0,2857.0,357.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-23,689.0,2864.0,358.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-24,684.0,2881.0,357.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-25,693.0,2963.0,362.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-26,692.0,3045.0,363.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-27,687.0,3072.0,360.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-28,672.0,3158.0,351.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-29,665.0,3176.0,347.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-04-30,660.0,3197.0,345.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-01,659.0,3167.0,342.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-02,642.0,3316.0,336.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-03,619.0,3425.0,319.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-04,614.0,3396.0,315.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-05,615.0,3400.0,315.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-06,617.0,3405.0,317.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-07,610.0,3482.0,315.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-08,607.0,3468.0,314.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-09,618.0,3484.0,319.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-10,625.0,3462.0,322.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-11,623.0,3469.0,321.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-12,627.0,3470.0,323.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-13,630.0,3490.0,325.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-14,630.0,3478.0,325.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-15,635.0,3470.0,328.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-16,638.0,3474.0,327.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-17,649.0,3478.0,334.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-18,653.0,3465.0,336.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-19,657.0,3480.0,339.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-20,661.0,3497.0,341.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-21,666.0,3478.0,345.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-22,674.0,3473.0,349.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-23,683.0,3446.0,351.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-24,688.0,3461.0,354.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-25,690.0,3447.0,355.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-26,688.0,3481.0,355.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-27,687.0,3451.0,354.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-28,679.0,3440.0,351.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-29,678.0,3434.0,350.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-30,685.0,3448.0,354.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-05-31,679.0,3450.0,352.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-01,690.0,3436.0,360.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-02,695.0,3448.0,364.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-03,695.0,3449.0,365.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-04,704.0,3459.0,371.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-05,709.0,3445.0,374.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-06,709.0,3452.0,374.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-07,710.0,3470.0,374.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-08,710.0,3484.0,377.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-09,718.0,3497.0,381.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-10,724.0,3495.0,382.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-11,730.0,3498.0,387.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-12,728.0,3502.0,384.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-13,738.0,3521.0,389.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-14,735.0,3518.0,388.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-15,722.0,3508.0,380.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-16,721.0,3516.0,379.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-17,709.0,3534.0,373.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-18,699.0,3538.0,367.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-19,694.0,3574.0,363.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-20,684.0,3585.0,357.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-21,681.0,3599.0,355.0,MODIS/006/MCD43A4
-96.56215567821766,39.083452223830086,2012-06-22,680.0,3599.0,355.0,MODIS/006/MCD43A4
