longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-71.12186683195281,47.3210033792061,2014-01-01,1978.0,2707.0,2188.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-02,1856.0,2533.0,2049.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-03,1824.0,2487.0,2021.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-04,1821.0,2485.0,2016.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-05,1818.0,2483.0,2011.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-06,1815.0,2481.0,2007.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-07,1813.0,2479.0,2002.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-08,1850.0,2532.0,2014.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-09,1844.0,2525.0,2007.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-10,1850.0,2530.0,2014.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-11,1856.0,2535.0,2020.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-12,1683.0,2393.0,1804.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-13,1834.0,2581.0,1974.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-14,1842.0,2589.0,1983.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-15,1810.0,2568.0,1968.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-16,1847.0,2572.0,2046.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-17,1849.0,2389.0,1862.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-18,1587.0,2207.0,1821.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-19,1590.0,2210.0,1825.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-20,1593.0,2213.0,1830.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-21,1591.0,2210.0,1829.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-22,1589.0,2207.0,1828.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-23,1577.0,2185.0,1818.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-24,1569.0,2186.0,1806.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-25,1571.0,2186.0,1811.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-26,1574.0,2187.0,1815.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-27,1608.0,2429.0,1859.0,MODIS/006/MCD43A4
-71.12186683195281,47.3210033792061,2014-01-28,1613.0,2433.0,1865.0,MODIS/006/MCD43A4
