longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-155.28951737753138,19.931370366401882,2016-01-01,178.0,1676.0,110.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-02,171.0,1719.0,106.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-03,177.0,1721.0,115.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-04,181.0,1723.0,125.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-05,181.0,1741.0,128.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-06,212.0,1934.0,152.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-07,213.0,1937.0,152.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-08,216.0,1920.0,138.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-09,207.0,1915.0,132.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-10,210.0,1917.0,127.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-11,212.0,1921.0,128.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-12,222.0,1916.0,129.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-13,228.0,1953.0,118.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-14,227.0,1952.0,119.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-15,226.0,1949.0,134.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-16,220.0,1939.0,134.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-17,220.0,1940.0,134.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-18,231.0,1963.0,135.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-19,231.0,1964.0,136.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-20,213.0,1984.0,124.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-21,202.0,1987.0,114.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-22,170.0,1929.0,103.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-23,170.0,1922.0,103.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-24,184.0,1928.0,112.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-25,187.0,1934.0,115.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-26,188.0,1939.0,113.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-27,188.0,1944.0,112.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-28,185.0,1948.0,112.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-29,185.0,1957.0,111.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-30,186.0,1958.0,111.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-01-31,184.0,1962.0,107.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-02-01,185.0,1968.0,104.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-02-02,185.0,1972.0,103.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-02-03,185.0,1976.0,103.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-02-04,206.0,1953.0,116.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-02-05,224.0,2021.0,142.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-02-06,221.0,2033.0,141.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-02-07,218.0,2047.0,133.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-02-08,218.0,2077.0,130.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-02-09,223.0,2043.0,141.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-02-10,224.0,2046.0,141.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-02-11,225.0,2050.0,142.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-02-12,226.0,2054.0,143.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-02-13,227.0,2050.0,134.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-02-14,228.0,2054.0,134.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-02-15,229.0,2058.0,135.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-02-16,230.0,2062.0,135.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-02-17,231.0,2066.0,136.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-02-18,232.0,2069.0,136.0,MODIS/006/MCD43A4
-155.28951737753138,19.931370366401882,2016-02-19,233.0,2073.0,137.0,MODIS/006/MCD43A4
