longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-86.10127419464584,37.188006974337895,2002-01-01,588.0,1454.0,285.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-02,599.0,1486.0,294.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-03,600.0,1488.0,294.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-04,601.0,1490.0,295.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-05,584.0,1460.0,287.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-06,585.0,1461.0,287.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-07,585.0,1462.0,287.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-08,590.0,1479.0,288.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-09,590.0,1481.0,289.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-10,583.0,1471.0,287.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-11,583.0,1470.0,287.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-12,583.0,1469.0,287.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-13,576.0,1462.0,284.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-14,577.0,1464.0,285.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-15,578.0,1466.0,286.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-16,579.0,1468.0,286.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-17,577.0,1473.0,280.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-18,583.0,1494.0,276.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-19,612.0,1541.0,293.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-20,604.0,1542.0,290.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-21,623.0,1585.0,297.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-22,624.0,1587.0,298.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-23,625.0,1589.0,299.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-24,626.0,1592.0,299.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-25,628.0,1594.0,300.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-26,629.0,1596.0,301.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-27,629.0,1597.0,301.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-28,630.0,1599.0,302.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-29,632.0,1602.0,303.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-30,633.0,1605.0,304.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-01-31,635.0,1607.0,304.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-01,657.0,1661.0,324.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-02,655.0,1651.0,325.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-03,659.0,1657.0,334.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-04,646.0,1640.0,300.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-05,682.0,1696.0,343.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-06,667.0,1661.0,335.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-07,617.0,1562.0,313.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-08,618.0,1565.0,314.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-09,618.0,1566.0,315.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-10,619.0,1567.0,316.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-11,648.0,1637.0,326.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-12,649.0,1640.0,327.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-13,651.0,1644.0,328.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-14,653.0,1651.0,330.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-15,657.0,1659.0,332.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-16,649.0,1648.0,328.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-17,669.0,1654.0,332.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-18,676.0,1669.0,335.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-19,679.0,1675.0,337.0,MODIS/006/MCD43A4
-86.10127419464584,37.188006974337895,2002-02-20,694.0,1696.0,342.0,MODIS/006/MCD43A4
