longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-90.13920139676308,35.885449812364584,2016-01-01,731.0,1583.0,312.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-02,735.0,1814.0,314.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-03,824.0,1749.0,440.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-04,812.0,1734.0,432.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-05,808.0,1737.0,430.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-06,826.0,1777.0,435.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-07,829.0,1780.0,430.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-08,829.0,1781.0,429.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-09,828.0,1782.0,429.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-10,866.0,1856.0,449.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-11,867.0,1877.0,447.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-12,874.0,1893.0,450.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-13,876.0,1897.0,450.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-14,877.0,1895.0,450.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-15,868.0,1875.0,443.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-16,869.0,1878.0,443.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-17,870.0,1881.0,443.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-18,869.0,1883.0,443.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-19,878.0,1886.0,435.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-20,907.0,1938.0,434.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-21,919.0,1954.0,442.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-22,889.0,1927.0,426.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-23,885.0,1932.0,428.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-24,885.0,1934.0,428.0,MODIS/006/MCD43A4
-90.13920139676308,35.885449812364584,2016-01-25,887.0,1911.0,418.0,MODIS/006/MCD43A4
