longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-121.76439097419085,38.050389647092636,2010-01-01,545.0,1175.0,237.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-02,542.0,1174.0,237.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-03,,,,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-04,,,,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-05,,,,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-06,519.0,1274.0,269.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-07,566.0,1253.0,242.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-08,566.0,1253.0,242.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-09,567.0,1253.0,242.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-10,567.0,1254.0,241.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-11,568.0,1254.0,241.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-12,569.0,1254.0,241.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-13,566.0,1250.0,222.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-14,564.0,1248.0,221.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-15,564.0,1247.0,220.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-16,576.0,1291.0,283.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-17,577.0,1292.0,283.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-18,577.0,1293.0,283.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-19,578.0,1295.0,283.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-20,579.0,1296.0,283.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-21,548.0,1261.0,215.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-22,565.0,1332.0,261.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-23,522.0,1349.0,176.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-24,518.0,1309.0,186.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-25,516.0,1306.0,186.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-26,514.0,1303.0,187.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-27,554.0,1359.0,252.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-28,553.0,1358.0,252.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-29,578.0,1389.0,268.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-30,578.0,1388.0,268.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-01-31,583.0,1160.0,304.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-02-01,587.0,1166.0,306.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-02-02,590.0,1170.0,307.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-02-03,593.0,1190.0,352.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-02-04,590.0,1189.0,352.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-02-05,586.0,1189.0,351.0,MODIS/006/MCD43A4
-121.76439097419085,38.050389647092636,2010-02-06,587.0,1187.0,352.0,MODIS/006/MCD43A4
