longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-92.2008349738174,38.74209241586467,2012-01-01,468.0,1372.0,229.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-02,474.0,1377.0,232.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-03,473.0,1375.0,231.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-04,479.0,1379.0,232.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-05,486.0,1372.0,232.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-06,486.0,1367.0,230.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-07,487.0,1368.0,231.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-08,493.0,1377.0,234.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-09,507.0,1404.0,243.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-10,508.0,1407.0,244.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-11,514.0,1412.0,247.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-12,522.0,1422.0,251.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-13,526.0,1420.0,250.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-14,530.0,1422.0,254.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-15,536.0,1421.0,259.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-16,550.0,1481.0,268.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-17,556.0,1483.0,272.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-18,573.0,1508.0,279.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-19,589.0,1517.0,287.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-20,604.0,1543.0,297.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-21,575.0,1583.0,288.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-22,578.0,1576.0,289.0,MODIS/006/MCD43A4
-92.2008349738174,38.74209241586467,2012-01-23,587.0,1586.0,289.0,MODIS/006/MCD43A4
