longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-6.483590563132647,36.9903776118316,2016-01-01,601,1698,327,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-02,599,1697,326,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-03,590,1677,321,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-04,653,1702,326,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-05,622,1702,310,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-06,624,1707,311,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-07,614,1721,313,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-08,606,1699,317,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-09,616,1752,292,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-10,619,1759,293,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-11,621,1763,291,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-12,624,1770,292,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-13,626,1771,291,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-14,698,1962,324,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-15,680,1934,318,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-16,673,1916,305,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-17,674,1916,305,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-18,684,1932,313,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-19,675,1944,320,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-20,679,1950,332,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-21,680,1954,279,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-22,680,1954,278,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-23,678,1963,333,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-24,663,1938,306,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-25,656,1929,311,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-26,657,1931,312,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-27,637,1930,318,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-28,646,1953,322,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-29,648,1955,324,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-30,650,1956,325,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-01-31,673,1971,343,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-02-01,675,1979,345,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-02-02,678,1982,347,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-02-03,681,1985,349,MODIS/006/MCD43A4
-6.483590563132647,36.9903776118316,2016-02-04,687,2000,349,MODIS/006/MCD43A4
