longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-86.41119296766708,39.32150577412175,2008-01-01,540.0,1401.0,229.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-02,555.0,1431.0,233.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-03,517.0,1342.0,215.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-04,,,,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-05,550.0,1404.0,243.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-06,552.0,1408.0,244.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-07,554.0,1411.0,244.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-08,555.0,1415.0,245.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-09,579.0,1472.0,257.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-10,580.0,1474.0,257.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-11,648.0,1493.0,327.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-12,693.0,1549.0,346.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-13,699.0,1572.0,346.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-14,710.0,1576.0,356.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-15,713.0,1579.0,358.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-16,715.0,1582.0,360.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-17,718.0,1585.0,361.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-18,720.0,1589.0,363.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-19,723.0,1593.0,364.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-20,726.0,1600.0,365.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-21,746.0,1617.0,388.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-22,748.0,1620.0,389.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-23,710.0,1574.0,368.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-24,710.0,1576.0,368.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-25,710.0,1577.0,368.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-26,710.0,1578.0,368.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-27,694.0,1576.0,340.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-28,690.0,1569.0,340.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-29,669.0,1527.0,338.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-30,637.0,1494.0,319.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-01-31,638.0,1497.0,320.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-01,579.0,1382.0,286.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-02,576.0,1404.0,261.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-03,583.0,1456.0,269.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-04,585.0,1462.0,270.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-05,565.0,1431.0,258.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-06,566.0,1435.0,258.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-07,567.0,1439.0,257.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-08,567.0,1444.0,252.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-09,595.0,1460.0,267.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-10,598.0,1466.0,268.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-11,599.0,1469.0,269.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-12,600.0,1472.0,269.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-13,601.0,1475.0,269.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-14,603.0,1478.0,270.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-15,604.0,1481.0,270.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-16,606.0,1485.0,271.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-17,623.0,1525.0,277.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-18,627.0,1532.0,283.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-19,623.0,1519.0,283.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-20,625.0,1525.0,284.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-21,627.0,1531.0,284.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-22,629.0,1537.0,285.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-23,632.0,1543.0,286.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-24,662.0,1601.0,300.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-25,715.0,1704.0,322.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-26,718.0,1711.0,323.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-27,721.0,1718.0,324.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-28,724.0,1725.0,325.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-02-29,726.0,1733.0,326.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-01,729.0,1740.0,327.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-02,732.0,1940.0,328.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-03,735.0,1958.0,330.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-04,744.0,1877.0,335.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-05,736.0,1713.0,332.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-06,782.0,1736.0,355.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-07,786.0,1735.0,356.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-08,790.0,1734.0,358.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-09,794.0,1733.0,359.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-10,797.0,1737.0,361.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-11,779.0,1733.0,354.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-12,782.0,1734.0,356.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-13,801.0,1696.0,362.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-14,804.0,1695.0,363.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-15,808.0,1694.0,364.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-16,811.0,1693.0,366.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-17,815.0,1692.0,367.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-18,818.0,1907.0,369.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-19,822.0,1915.0,370.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-20,791.0,1924.0,361.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-21,812.0,1931.0,373.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-22,754.0,1836.0,346.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-23,757.0,1845.0,347.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-24,759.0,1853.0,348.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-25,762.0,1862.0,349.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-26,793.0,1906.0,360.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-27,797.0,1916.0,361.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-28,800.0,1925.0,362.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-29,826.0,1962.0,372.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-30,817.0,1972.0,373.0,MODIS/006/MCD43A4
-86.41119296766708,39.32150577412175,2008-03-31,818.0,1967.0,373.0,MODIS/006/MCD43A4
