longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-77.06871401282405,38.89031443774439,2003-01-01,825.0,2321.0,435.0,MODIS/006/MCD43A4
-77.06871401282405,38.89031443774439,2003-01-02,814.0,2126.0,398.0,MODIS/006/MCD43A4
-77.06871401282405,38.89031443774439,2003-01-03,814.0,2121.0,398.0,MODIS/006/MCD43A4
-77.06871401282405,38.89031443774439,2003-01-04,824.0,2077.0,423.0,MODIS/006/MCD43A4
-77.06871401282405,38.89031443774439,2003-01-05,805.0,1918.0,428.0,MODIS/006/MCD43A4
-77.06871401282405,38.89031443774439,2003-01-06,879.0,1775.0,494.0,MODIS/006/MCD43A4
-77.06871401282405,38.89031443774439,2003-01-07,887.0,1817.0,505.0,MODIS/006/MCD43A4
-77.06871401282405,38.89031443774439,2003-01-08,878.0,1836.0,499.0,MODIS/006/MCD43A4
-77.06871401282405,38.89031443774439,2003-01-09,880.0,1835.0,500.0,MODIS/006/MCD43A4
-77.06871401282405,38.89031443774439,2003-01-10,882.0,1835.0,501.0,MODIS/006/MCD43A4
-77.06871401282405,38.89031443774439,2003-01-11,883.0,1835.0,503.0,MODIS/006/MCD43A4
-77.06871401282405,38.89031443774439,2003-01-12,885.0,1835.0,504.0,MODIS/006/MCD43A4
-77.06871401282405,38.89031443774439,2003-01-13,898.0,1858.0,512.0,MODIS/006/MCD43A4
-77.06871401282405,38.89031443774439,2003-01-14,899.0,1861.0,513.0,MODIS/006/MCD43A4
-77.06871401282405,38.89031443774439,2003-01-15,900.0,1866.0,514.0,MODIS/006/MCD43A4
-77.06871401282405,38.89031443774439,2003-01-16,891.0,1870.0,517.0,MODIS/006/MCD43A4
-77.06871401282405,38.89031443774439,2003-01-17,897.0,1841.0,521.0,MODIS/006/MCD43A4
-77.06871401282405,38.89031443774439,2003-01-18,875.0,1827.0,508.0,MODIS/006/MCD43A4
-77.06871401282405,38.89031443774439,2003-01-19,876.0,1831.0,509.0,MODIS/006/MCD43A4
-77.06871401282405,38.89031443774439,2003-01-20,838.0,1818.0,482.0,MODIS/006/MCD43A4
