longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-114.40718879725196,38.926247049109165,2018-01-01,1495.0,2090.0,864.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-02,1495.0,2089.0,864.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-03,1495.0,2088.0,864.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-04,1454.0,2049.0,847.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-05,1445.0,2037.0,848.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-06,1400.0,1972.0,823.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-07,1432.0,2016.0,847.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-08,1434.0,2017.0,848.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-09,1436.0,2018.0,850.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-10,1438.0,2020.0,851.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-11,1440.0,2021.0,853.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-12,1443.0,2024.0,855.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-13,1431.0,2013.0,849.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-14,1436.0,2017.0,852.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-15,1438.0,2018.0,853.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-16,1453.0,2044.0,871.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-17,1456.0,2045.0,872.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-18,5989.0,6045.0,5919.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-19,5990.0,6046.0,5920.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-20,5992.0,6047.0,5921.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-21,5993.0,6048.0,5921.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-22,5598.0,5687.0,5473.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-23,5509.0,5601.0,5373.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-24,5501.0,5594.0,5362.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-25,5493.0,5586.0,5350.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-26,5485.0,5577.0,5339.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-27,5476.0,5569.0,5326.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-28,5479.0,5571.0,5329.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-29,5481.0,5572.0,5331.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-30,5164.0,5266.0,4985.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-01-31,1510.0,2059.0,874.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-01,1513.0,2060.0,876.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-02,1515.0,2061.0,877.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-03,1378.0,1909.0,792.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-04,1378.0,1907.0,792.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-05,1378.0,1905.0,792.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-06,1387.0,1915.0,800.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-07,1386.0,1912.0,800.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-08,1410.0,1944.0,812.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-09,1500.0,2052.0,865.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-10,1528.0,2097.0,875.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-11,1536.0,2107.0,880.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-12,1564.0,2131.0,893.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-13,1573.0,2143.0,899.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-14,1581.0,2153.0,903.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-15,1580.0,2150.0,902.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-16,1583.0,2159.0,903.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-17,1589.0,2166.0,906.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-18,1593.0,2171.0,909.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-19,1664.0,2364.0,949.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-20,1670.0,2371.0,952.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-21,1585.0,2188.0,917.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-22,1545.0,2133.0,888.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-23,1544.0,2132.0,888.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-24,1503.0,2069.0,865.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-25,1472.0,2039.0,852.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-26,1338.0,1886.0,800.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-27,1342.0,1889.0,802.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-02-28,1345.0,1892.0,804.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-01,1348.0,1894.0,806.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-02,1430.0,2001.0,856.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-03,,,,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-04,,,,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-05,,,,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-06,,,,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-07,1613.0,2185.0,939.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-08,1620.0,2192.0,943.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-09,1662.0,2234.0,953.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-10,1667.0,2236.0,955.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-11,1637.0,2220.0,936.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-12,1621.0,2190.0,932.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-13,1620.0,2189.0,931.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-14,1619.0,2187.0,931.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-15,1618.0,2185.0,930.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-16,1539.0,2114.0,892.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-17,1614.0,2261.0,935.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-18,1606.0,2251.0,929.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-19,1660.0,2311.0,973.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-20,1656.0,2299.0,967.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-21,1566.0,2189.0,921.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-22,1622.0,2263.0,949.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-23,1700.0,2347.0,988.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-24,1712.0,2361.0,994.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-25,1782.0,2444.0,1036.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-26,1794.0,2457.0,1043.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-27,1803.0,2469.0,1047.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-28,1814.0,2477.0,1052.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-29,1825.0,2490.0,1057.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-30,1835.0,2501.0,1062.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-03-31,1844.0,2511.0,1067.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-01,1916.0,2590.0,1108.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-02,1933.0,2610.0,1120.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-03,1941.0,2618.0,1124.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-04,1918.0,2574.0,1096.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-05,1885.0,2561.0,1067.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-06,1919.0,2610.0,1107.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-07,1903.0,2575.0,1111.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-08,1905.0,2585.0,1115.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-09,1912.0,2592.0,1119.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-10,1919.0,2617.0,1123.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-11,1925.0,2625.0,1127.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-12,1932.0,2632.0,1130.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-13,1937.0,2637.0,1135.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-14,1981.0,2709.0,1161.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-15,1995.0,2738.0,1167.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-16,2002.0,2747.0,1171.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-17,2006.0,2761.0,1158.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-18,2021.0,2797.0,1174.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-19,2028.0,2806.0,1179.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-20,2033.0,2812.0,1180.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-21,2061.0,2867.0,1204.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-22,2060.0,2884.0,1198.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-23,2077.0,2935.0,1203.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-24,2082.0,2942.0,1206.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-25,2087.0,2950.0,1209.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-26,2091.0,2941.0,1215.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-27,2096.0,2945.0,1218.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-28,2087.0,2916.0,1198.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-29,2088.0,2910.0,1200.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-04-30,2062.0,2858.0,1172.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-05-01,2074.0,2874.0,1189.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-05-02,2079.0,2880.0,1192.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-05-03,2095.0,2937.0,1209.0,MODIS/006/MCD43A4
-114.40718879725196,38.926247049109165,2018-05-04,2086.0,2925.0,1193.0,MODIS/006/MCD43A4
