longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-96.82266711061233,40.86660806280733,2015-01-01,910.0,1928.0,387.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-02,910.0,1931.0,387.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-03,,,,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-04,,,,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-05,,,,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-06,,,,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-07,,,,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-08,1300.0,2303.0,647.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-09,1121.0,2168.0,526.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-10,1080.0,2168.0,497.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-11,1211.0,1994.0,613.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-12,1215.0,1983.0,616.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-13,1175.0,1936.0,600.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-14,1177.0,1937.0,601.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-15,1179.0,1939.0,603.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-16,1177.0,1935.0,601.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-17,1173.0,1929.0,599.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-18,1170.0,1924.0,597.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-19,1155.0,1921.0,589.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-20,1158.0,1941.0,588.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-21,1160.0,1943.0,589.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-22,1162.0,1946.0,590.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-23,1164.0,1949.0,591.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-24,1089.0,1863.0,543.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-25,1079.0,1857.0,542.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-26,1082.0,1861.0,543.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-27,1121.0,1952.0,561.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-28,1136.0,1975.0,578.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-29,1142.0,1986.0,581.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-30,1137.0,1982.0,578.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-01-31,7540.0,7344.0,7293.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-01,7542.0,7347.0,7295.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-02,7545.0,7350.0,7298.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-03,7537.0,7341.0,7290.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-04,7513.0,7313.0,7272.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-05,7109.0,6973.0,6846.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-06,7464.0,7255.0,7251.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-07,7444.0,7233.0,7232.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-08,,,,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-09,,,,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-10,,,,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-11,5917.0,6009.0,5599.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-12,5926.0,6017.0,5609.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-13,5934.0,6024.0,5618.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-14,,,,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-15,,,,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-16,1374.0,2199.0,641.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-17,1409.0,2248.0,683.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-18,1412.0,2251.0,685.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-19,1460.0,2317.0,715.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-20,1372.0,2222.0,652.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-21,1374.0,2224.0,653.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-22,1375.0,2227.0,653.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-23,1376.0,2229.0,654.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-24,1379.0,2234.0,656.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-25,1380.0,2237.0,656.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-26,1389.0,2243.0,662.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-27,1349.0,2182.0,638.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-02-28,1356.0,2191.0,650.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-03-01,1358.0,2193.0,651.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-03-02,1361.0,2206.0,661.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-03-03,1367.0,2211.0,664.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-03-04,1364.0,2220.0,678.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-03-05,1368.0,2221.0,677.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-03-06,1373.0,2234.0,679.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-03-07,1380.0,2250.0,683.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-03-08,1383.0,2254.0,685.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-03-09,1382.0,2259.0,686.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-03-10,1386.0,2260.0,688.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-03-11,1389.0,2265.0,689.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-03-12,1392.0,2270.0,691.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-03-13,1394.0,2283.0,687.0,MODIS/006/MCD43A4
-96.82266711061233,40.86660806280733,2015-03-14,1395.0,2283.0,686.0,MODIS/006/MCD43A4
