longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-105.54530851941288,40.03117484857618,2015-01-01,1251.0,2410.0,1320.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-02,1167.0,2288.0,1228.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-03,1163.0,2281.0,1224.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-04,1159.0,2274.0,1219.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-05,369.0,1910.0,229.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-06,371.0,1911.0,229.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-07,399.0,1935.0,323.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-08,373.0,1923.0,334.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-09,907.0,1968.0,938.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-10,908.0,1970.0,940.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-11,,,,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-12,379.0,1927.0,284.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-13,380.0,1928.0,284.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-14,382.0,1929.0,348.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-15,382.0,1929.0,348.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-16,,,,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-17,276.0,1939.0,281.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-18,379.0,2054.0,254.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-19,341.0,1962.0,222.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-20,,,,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-21,,,,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-22,,,,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-23,,,,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-24,415.0,2036.0,311.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-25,424.0,2037.0,503.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-26,426.0,2031.0,495.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-27,435.0,2035.0,503.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-28,439.0,2035.0,505.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-29,441.0,2036.0,506.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-30,441.0,2037.0,329.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-01-31,448.0,1998.0,309.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-01,698.0,2165.0,568.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-02,689.0,2181.0,545.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-03,643.0,2019.0,487.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-04,653.0,2001.0,506.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-05,682.0,1913.0,446.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-06,596.0,1920.0,411.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-07,609.0,1915.0,417.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-08,612.0,1925.0,419.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-09,613.0,1924.0,420.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-10,613.0,1923.0,420.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-11,613.0,1923.0,419.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-12,651.0,2019.0,476.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-13,652.0,2027.0,476.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-14,654.0,2034.0,477.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-15,668.0,2086.0,492.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-16,676.0,2058.0,364.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-17,620.0,1994.0,298.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-18,580.0,1980.0,323.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-19,523.0,2034.0,281.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-20,596.0,2142.0,334.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-21,597.0,2142.0,334.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-22,2046.0,3035.0,2135.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-23,2338.0,3065.0,2456.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-24,2333.0,3072.0,2445.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-25,2337.0,3077.0,2449.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-26,2340.0,3081.0,2452.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-27,2344.0,2928.0,2066.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-02-28,1902.0,3232.0,1975.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-01,1901.0,3241.0,1974.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-02,1886.0,3012.0,1786.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-03,1884.0,3012.0,1780.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-04,1631.0,2899.0,1522.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-05,1353.0,2746.0,1240.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-06,1358.0,2745.0,1243.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-07,1368.0,2748.0,1249.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-08,1367.0,2748.0,1246.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-09,740.0,2054.0,647.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-10,850.0,2103.0,750.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-11,846.0,2103.0,745.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-12,842.0,2103.0,740.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-13,838.0,2102.0,735.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-14,974.0,2169.0,824.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-15,1101.0,2433.0,1006.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-16,1151.0,2478.0,1044.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-17,1158.0,2487.0,1050.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-18,1149.0,2492.0,1040.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-19,1150.0,2507.0,1038.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-20,1152.0,2520.0,1043.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-21,1148.0,2484.0,1040.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-22,987.0,2450.0,849.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-23,978.0,2396.0,844.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-24,927.0,2361.0,775.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-25,929.0,2369.0,775.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-26,836.0,2330.0,677.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-27,834.0,2328.0,673.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-28,832.0,2325.0,669.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-29,895.0,2380.0,781.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-30,940.0,2385.0,756.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-03-31,933.0,2391.0,867.0,MODIS/006/MCD43A4
-105.54530851941288,40.03117484857618,2015-04-01,926.0,2375.0,740.0,MODIS/006/MCD43A4
