longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-79.19772123618732,33.34770913472694,2017-01-01,404.0,1226.0,255.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-02,398.0,1079.0,234.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-03,391.0,1112.0,228.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-04,381.0,1217.0,222.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-05,374.0,1290.0,218.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-06,371.0,1277.0,219.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-07,371.0,1277.0,219.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-08,367.0,1302.0,210.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-09,367.0,1302.0,209.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-10,370.0,1290.0,211.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-11,362.0,1304.0,204.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-12,362.0,1305.0,204.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-13,363.0,1303.0,204.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-14,363.0,1303.0,204.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-15,363.0,1302.0,203.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-16,364.0,1302.0,203.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-17,353.0,1303.0,197.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-18,329.0,1578.0,187.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-19,329.0,1580.0,187.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-20,329.0,1594.0,187.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-21,332.0,1549.0,184.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-22,340.0,1538.0,175.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-23,338.0,1470.0,173.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-24,344.0,1481.0,173.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-25,344.0,1482.0,179.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-26,344.0,1528.0,186.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-27,353.0,1532.0,193.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-28,354.0,1534.0,194.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-29,356.0,1537.0,195.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-30,367.0,1523.0,200.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-01-31,368.0,1531.0,201.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-02-01,371.0,1548.0,205.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-02-02,374.0,1541.0,208.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-02-03,374.0,1545.0,214.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-02-04,369.0,1572.0,184.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-02-05,370.0,1566.0,187.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-02-06,369.0,1575.0,187.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-02-07,365.0,1524.0,183.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-02-08,365.0,1551.0,183.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-02-09,362.0,1567.0,177.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-02-10,368.0,1521.0,182.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-02-11,365.0,1494.0,173.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-02-12,378.0,1500.0,186.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-02-13,393.0,1488.0,203.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-02-14,395.0,1488.0,205.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-02-15,388.0,1520.0,203.0,MODIS/006/MCD43A4
-79.19772123618732,33.34770913472694,2017-02-16,398.0,1566.0,212.0,MODIS/006/MCD43A4
