longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-121.55777845884336,44.450886046444225,2011-01-01,914.0,3040.0,932.0,MODIS/006/MCD43A4
-121.55777845884336,44.450886046444225,2011-01-02,908.0,3032.0,926.0,MODIS/006/MCD43A4
-121.55777845884336,44.450886046444225,2011-01-03,902.0,3025.0,919.0,MODIS/006/MCD43A4
-121.55777845884336,44.450886046444225,2011-01-04,903.0,3031.0,920.0,MODIS/006/MCD43A4
-121.55777845884336,44.450886046444225,2011-01-05,905.0,3037.0,921.0,MODIS/006/MCD43A4
-121.55777845884336,44.450886046444225,2011-01-06,906.0,3044.0,921.0,MODIS/006/MCD43A4
-121.55777845884336,44.450886046444225,2011-01-07,909.0,3049.0,924.0,MODIS/006/MCD43A4
-121.55777845884336,44.450886046444225,2011-01-08,782.0,2895.0,800.0,MODIS/006/MCD43A4
-121.55777845884336,44.450886046444225,2011-01-09,783.0,2898.0,801.0,MODIS/006/MCD43A4
-121.55777845884336,44.450886046444225,2011-01-10,785.0,2901.0,802.0,MODIS/006/MCD43A4
-121.55777845884336,44.450886046444225,2011-01-11,787.0,2905.0,803.0,MODIS/006/MCD43A4
-121.55777845884336,44.450886046444225,2011-01-12,1124.0,2936.0,1150.0,MODIS/006/MCD43A4
-121.55777845884336,44.450886046444225,2011-01-13,912.0,2922.0,938.0,MODIS/006/MCD43A4
-121.55777845884336,44.450886046444225,2011-01-14,917.0,2921.0,942.0,MODIS/006/MCD43A4
-121.55777845884336,44.450886046444225,2011-01-15,1227.0,2827.0,1259.0,MODIS/006/MCD43A4
-121.55777845884336,44.450886046444225,2011-01-16,1231.0,2830.0,1261.0,MODIS/006/MCD43A4
-121.55777845884336,44.450886046444225,2011-01-17,1235.0,2833.0,1264.0,MODIS/006/MCD43A4
-121.55777845884336,44.450886046444225,2011-01-18,1240.0,2836.0,1267.0,MODIS/006/MCD43A4
-121.55777845884336,44.450886046444225,2011-01-19,1244.0,2839.0,1269.0,MODIS/006/MCD43A4
-121.55777845884336,44.450886046444225,2011-01-20,1241.0,2845.0,1265.0,MODIS/006/MCD43A4
