longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-109.0801791624232,31.93735413865929,2016-01-01,1378.0,1953.0,658.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-02,1377.0,1951.0,658.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-03,1335.0,1901.0,635.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-04,1322.0,1873.0,625.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-05,1302.0,1820.0,616.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-06,1322.0,1833.0,614.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-07,1335.0,1854.0,625.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-08,1325.0,1834.0,624.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-09,1326.0,1835.0,624.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-10,1335.0,1844.0,627.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-11,1336.0,1845.0,628.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-12,1347.0,1858.0,634.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-13,1355.0,1867.0,639.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-14,1366.0,1877.0,643.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-15,1367.0,1879.0,644.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-16,1368.0,1881.0,645.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-17,1383.0,1898.0,655.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-18,1385.0,1900.0,658.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-19,1392.0,1909.0,660.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-20,1403.0,1921.0,669.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-21,1419.0,1939.0,677.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-22,1421.0,1947.0,677.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-23,1432.0,1956.0,680.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-24,1436.0,1962.0,685.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-25,1439.0,1965.0,686.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-26,1447.0,1976.0,691.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-27,1450.0,1981.0,696.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-28,1455.0,1987.0,699.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-29,1462.0,1995.0,702.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-30,1468.0,2003.0,709.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-01-31,1479.0,2016.0,716.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-01,1485.0,2022.0,716.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-02,1486.0,2025.0,719.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-03,1493.0,2033.0,719.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-04,1496.0,2038.0,720.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-05,1504.0,2048.0,718.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-06,1511.0,2056.0,720.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-07,1505.0,2051.0,717.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-08,1509.0,2059.0,719.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-09,1517.0,2067.0,722.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-10,1525.0,2078.0,727.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-11,1531.0,2085.0,728.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-12,1535.0,2089.0,726.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-13,1540.0,2096.0,726.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-14,1544.0,2105.0,726.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-15,1542.0,2105.0,723.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-16,1552.0,2118.0,733.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-17,1560.0,2130.0,737.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-18,1567.0,2141.0,737.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-19,1577.0,2155.0,748.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-20,1582.0,2162.0,752.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-21,1585.0,2168.0,764.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-22,1580.0,2163.0,764.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-23,1592.0,2180.0,778.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-24,1596.0,2185.0,772.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-25,1599.0,2190.0,772.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-26,1605.0,2199.0,773.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-27,1609.0,2206.0,775.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-28,1613.0,2211.0,776.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-02-29,1650.0,2241.0,821.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-03-01,1668.0,2258.0,840.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-03-02,1657.0,2248.0,834.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-03-03,1655.0,2252.0,825.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-03-04,1665.0,2267.0,822.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-03-05,1670.0,2275.0,826.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-03-06,1672.0,2281.0,826.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-03-07,1671.0,2283.0,822.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-03-08,1674.0,2288.0,812.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-03-09,1674.0,2287.0,810.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-03-10,1670.0,2286.0,810.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-03-11,1677.0,2295.0,812.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-03-12,1680.0,2301.0,814.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-03-13,1690.0,2313.0,818.0,MODIS/006/MCD43A4
-109.0801791624232,31.93735413865929,2016-03-14,1696.0,2321.0,818.0,MODIS/006/MCD43A4
