longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-93.05872607015154,44.6889395967359,2017-01-01,4466.0,4808.0,4337.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-02,4470.0,4810.0,4341.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-03,4698.0,4790.0,4334.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-04,4699.0,4790.0,4338.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-05,4698.0,4789.0,4337.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-06,4608.0,4985.0,4588.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-07,4526.0,5010.0,4546.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-08,4456.0,4863.0,4542.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-09,4513.0,4888.0,4597.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-10,4438.0,4814.0,4565.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-11,4735.0,4967.0,4783.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-12,4731.0,4966.0,4784.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-13,4726.0,4991.0,4831.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-14,4722.0,4989.0,4829.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-15,4296.0,4728.0,4493.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-16,4295.0,4728.0,4493.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-17,4962.0,5214.0,5033.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-18,4976.0,5220.0,5047.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-19,4973.0,5219.0,5045.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-20,5094.0,5347.0,5100.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-21,5097.0,5352.0,5101.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-22,5221.0,5456.0,5125.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-23,4919.0,5179.0,4862.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-24,5306.0,5560.0,5062.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-25,5303.0,5559.0,5061.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-26,4901.0,5259.0,4755.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-27,4901.0,5260.0,4756.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-28,5025.0,5354.0,4872.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-29,5576.0,5768.0,5231.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-30,5574.0,5767.0,5230.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-01-31,5572.0,5767.0,5230.0,MODIS/006/MCD43A4
-93.05872607015154,44.6889395967359,2017-02-01,4812.0,5194.0,4682.0,MODIS/006/MCD43A4
