longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-111.7302092505758,35.16230600864837,2016-01-01,,,,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-02,,,,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-03,,,,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-04,6068.0,5895.0,5686.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-05,3837.0,5210.0,3829.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-06,4865.0,5427.0,4650.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-07,4435.0,5097.0,4323.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-08,4437.0,5099.0,4324.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-09,4439.0,5100.0,4324.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-10,4445.0,5312.0,4284.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-11,4429.0,5088.0,3834.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-12,4417.0,5297.0,4258.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-13,4861.0,5384.0,4670.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-14,4858.0,5381.0,4666.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-15,4885.0,5400.0,4684.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-16,4912.0,5420.0,4703.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-17,5078.0,5500.0,4806.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-18,5029.0,5425.0,4742.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-19,5003.0,5382.0,4722.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-20,4853.0,5227.0,4558.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-21,5061.0,5336.0,4708.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-22,4998.0,5247.0,4663.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-23,5337.0,5498.0,4880.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-24,5332.0,5486.0,4873.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-25,4006.0,4822.0,3757.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-26,5277.0,5284.0,4896.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-27,5415.0,5493.0,4973.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-28,5612.0,5705.0,5155.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-29,5481.0,5656.0,5018.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-30,3714.0,4838.0,3502.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-01-31,3887.0,4935.0,3625.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-02-01,3851.0,4921.0,3614.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-02-02,4304.0,5093.0,4001.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-02-03,5118.0,5505.0,4635.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-02-04,4888.0,5557.0,4644.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-02-05,3962.0,4996.0,3670.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-02-06,4761.0,5316.0,4226.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-02-07,4749.0,5297.0,4211.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-02-08,4736.0,5280.0,4195.0,MODIS/006/MCD43A4
-111.7302092505758,35.16230600864837,2016-02-09,4734.0,5269.0,4188.0,MODIS/006/MCD43A4
