longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
106.74455942371245,34.33585594725841,2014-01-01,415.0,673.0,211.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-02,415.0,672.0,211.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-03,416.0,671.0,211.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-04,416.0,670.0,212.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-05,416.0,671.0,212.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-06,423.0,690.0,219.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-07,424.0,691.0,220.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-08,425.0,688.0,222.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-09,426.0,689.0,223.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-10,438.0,719.0,227.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-11,439.0,768.0,228.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-12,440.0,771.0,229.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-13,463.0,849.0,248.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-14,464.0,852.0,249.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-15,446.0,1040.0,232.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-16,447.0,1042.0,232.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-17,453.0,796.0,235.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-18,453.0,796.0,235.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-19,454.0,792.0,236.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-20,454.0,789.0,236.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-21,454.0,786.0,236.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-22,460.0,770.0,243.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-23,459.0,846.0,239.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-24,460.0,841.0,240.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-25,462.0,835.0,241.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-26,458.0,746.0,241.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-27,459.0,781.0,241.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-28,460.0,779.0,242.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-29,452.0,723.0,234.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-30,453.0,725.0,234.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-01-31,474.0,786.0,254.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-01,476.0,789.0,255.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-02,477.0,792.0,256.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-03,478.0,795.0,256.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-04,480.0,795.0,258.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-05,482.0,795.0,259.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-06,484.0,795.0,260.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-07,466.0,741.0,228.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-08,697.0,884.0,456.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-09,698.0,884.0,457.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-10,699.0,884.0,458.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-11,,,,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-12,,,,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-13,,,,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-14,,,,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-15,,,,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-16,,,,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-17,,,,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-18,,,,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-19,,,,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-20,,,,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-21,,,,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-22,,,,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-23,,,,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-24,,,,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-25,,,,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-26,,,,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-27,,,,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-02-28,,,,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-01,,,,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-02,499.0,1028.0,281.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-03,501.0,1029.0,282.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-04,504.0,1031.0,284.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-05,506.0,1032.0,285.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-06,551.0,971.0,295.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-07,473.0,933.0,248.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-08,479.0,987.0,249.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-09,453.0,991.0,240.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-10,454.0,995.0,240.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-11,456.0,999.0,240.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-12,457.0,1002.0,240.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-13,459.0,1006.0,240.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-14,458.0,995.0,234.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-15,460.0,1001.0,235.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-16,462.0,1005.0,236.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-17,460.0,1008.0,228.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-18,461.0,1038.0,227.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-19,472.0,1045.0,233.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-20,475.0,1051.0,235.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-21,478.0,1057.0,236.0,MODIS/006/MCD43A4
106.74455942371245,34.33585594725841,2014-03-22,485.0,1080.0,243.0,MODIS/006/MCD43A4
