longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-77.9041472270552,40.66448712388044,2012-01-01,373.0,1287.0,197.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-02,371.0,1333.0,179.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-03,377.0,1347.0,181.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-04,377.0,1347.0,180.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-05,376.0,1347.0,180.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-06,376.0,1347.0,180.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-07,376.0,1348.0,180.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-08,371.0,1317.0,177.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-09,371.0,1318.0,177.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-10,370.0,1316.0,177.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-11,370.0,1315.0,177.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-12,370.0,1313.0,177.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-13,369.0,1312.0,176.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-14,369.0,1310.0,176.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-15,360.0,1313.0,167.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-16,360.0,1313.0,167.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-17,359.0,1313.0,167.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-18,355.0,1216.0,171.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-19,355.0,1216.0,170.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-20,354.0,1216.0,170.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-21,354.0,1216.0,170.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-22,354.0,1216.0,170.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-23,354.0,1216.0,170.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-24,,,,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-25,,,,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-26,,,,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-27,451.0,1487.0,229.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-28,450.0,1487.0,229.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-29,450.0,1487.0,229.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-30,429.0,1420.0,214.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-01-31,409.0,1420.0,208.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-02-01,408.0,1419.0,207.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-02-02,407.0,1418.0,207.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-02-03,405.0,1417.0,206.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-02-04,404.0,1415.0,206.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-02-05,403.0,1413.0,205.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-02-06,401.0,1411.0,204.0,MODIS/006/MCD43A4
-77.9041472270552,40.66448712388044,2012-02-07,400.0,1411.0,204.0,MODIS/006/MCD43A4
