longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-72.58612074506765,42.133232613415856,2012-01-01,639.0,1418.0,398.0,MODIS/006/MCD43A4
-72.58612074506765,42.133232613415856,2012-01-02,637.0,1424.0,391.0,MODIS/006/MCD43A4
-72.58612074506765,42.133232613415856,2012-01-03,634.0,1424.0,390.0,MODIS/006/MCD43A4
-72.58612074506765,42.133232613415856,2012-01-04,697.0,1533.0,414.0,MODIS/006/MCD43A4
-72.58612074506765,42.133232613415856,2012-01-05,667.0,1416.0,427.0,MODIS/006/MCD43A4
-72.58612074506765,42.133232613415856,2012-01-06,667.0,1411.0,428.0,MODIS/006/MCD43A4
-72.58612074506765,42.133232613415856,2012-01-07,664.0,1402.0,426.0,MODIS/006/MCD43A4
-72.58612074506765,42.133232613415856,2012-01-08,630.0,1410.0,397.0,MODIS/006/MCD43A4
-72.58612074506765,42.133232613415856,2012-01-09,667.0,1451.0,424.0,MODIS/006/MCD43A4
-72.58612074506765,42.133232613415856,2012-01-10,673.0,1457.0,425.0,MODIS/006/MCD43A4
-72.58612074506765,42.133232613415856,2012-01-11,677.0,1458.0,428.0,MODIS/006/MCD43A4
-72.58612074506765,42.133232613415856,2012-01-12,686.0,1450.0,433.0,MODIS/006/MCD43A4
-72.58612074506765,42.133232613415856,2012-01-13,688.0,1413.0,435.0,MODIS/006/MCD43A4
-72.58612074506765,42.133232613415856,2012-01-14,690.0,1415.0,437.0,MODIS/006/MCD43A4
-72.58612074506765,42.133232613415856,2012-01-15,719.0,1449.0,455.0,MODIS/006/MCD43A4
-72.58612074506765,42.133232613415856,2012-01-16,748.0,1476.0,476.0,MODIS/006/MCD43A4
-72.58612074506765,42.133232613415856,2012-01-17,769.0,1488.0,481.0,MODIS/006/MCD43A4
-72.58612074506765,42.133232613415856,2012-01-18,718.0,1486.0,481.0,MODIS/006/MCD43A4
-72.58612074506765,42.133232613415856,2012-01-19,718.0,1486.0,482.0,MODIS/006/MCD43A4
