longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-70.95118692797011,43.10790469668554,2009-01-01,1882.0,2458.0,1802.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-02,1884.0,2460.0,1799.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-03,1886.0,2463.0,1796.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-04,1889.0,2465.0,1793.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-05,1891.0,2468.0,1791.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-06,1894.0,2470.0,1788.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-07,,,,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-08,,,,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-09,,,,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-10,,,,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-11,,,,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-12,,,,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-13,,,,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-14,,,,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-15,,,,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-16,,,,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-17,,,,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-18,,,,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-19,3756.0,4532.0,3552.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-20,3775.0,4550.0,3573.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-21,3795.0,4567.0,3593.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-22,3824.0,4593.0,3620.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-23,3975.0,4587.0,3759.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-24,4051.0,4629.0,3809.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-25,4080.0,4651.0,3837.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-26,4109.0,4674.0,3865.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-27,4136.0,4692.0,3892.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-28,4163.0,4710.0,3920.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-29,4190.0,4729.0,3947.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-30,4057.0,4638.0,3774.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-01-31,4074.0,4654.0,3790.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-02-01,4086.0,4667.0,3803.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-02-02,4110.0,4676.0,3809.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-02-03,4123.0,4690.0,3823.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-02-04,3955.0,4519.0,3688.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-02-05,3967.0,4533.0,3701.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-02-06,3980.0,4546.0,3714.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-02-07,3996.0,4559.0,3731.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-02-08,3646.0,4248.0,3370.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-02-09,3579.0,4177.0,3319.0,MODIS/006/MCD43A4
-70.95118692797011,43.10790469668554,2009-02-10,3582.0,4176.0,3324.0,MODIS/006/MCD43A4
