longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-80.55866889162839,42.65874705462578,2012-01-01,554.0,1593.0,261.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-02,555.0,1593.0,262.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-03,556.0,1594.0,263.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-04,570.0,1595.0,273.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-05,571.0,1596.0,273.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-06,572.0,1597.0,274.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-07,572.0,1594.0,274.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-08,573.0,1596.0,274.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-09,575.0,1597.0,275.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-10,576.0,1599.0,276.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-11,577.0,1600.0,277.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-12,3263.0,4264.0,3190.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-13,3266.0,4266.0,3191.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-14,3127.0,4118.0,3240.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-15,3130.0,4121.0,3241.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-16,3127.0,4118.0,3244.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-17,3125.0,4115.0,3248.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-18,3122.0,4112.0,3251.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-19,3120.0,4109.0,3255.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-20,3117.0,4106.0,3258.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-21,3115.0,4103.0,3262.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-22,3118.0,4107.0,3263.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-23,3025.0,4032.0,3264.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-24,2884.0,3884.0,3306.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-25,2884.0,3885.0,3307.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-26,2884.0,3886.0,3308.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-27,2884.0,3888.0,3308.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-28,2884.0,3889.0,3309.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-29,2884.0,3891.0,3309.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-30,,,,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-01-31,,,,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-01,,,,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-02,856.0,1914.0,442.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-03,858.0,1915.0,443.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-04,860.0,1916.0,445.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-05,863.0,1922.0,447.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-06,865.0,1929.0,449.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-07,870.0,1938.0,453.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-08,875.0,1947.0,456.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-09,880.0,1956.0,460.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-10,883.0,1958.0,462.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-11,885.0,1960.0,463.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-12,,,,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-13,,,,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-14,,,,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-15,,,,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-16,,,,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-17,943.0,2122.0,515.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-18,,,,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-19,,,,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-20,754.0,1842.0,382.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-21,794.0,1841.0,407.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-22,796.0,1844.0,408.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-23,798.0,1846.0,409.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-24,800.0,1849.0,411.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-25,802.0,1852.0,412.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-26,805.0,1855.0,414.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-27,808.0,1859.0,416.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-28,813.0,1862.0,419.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-02-29,814.0,1873.0,419.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-01,816.0,1877.0,421.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-02,819.0,1880.0,423.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-03,822.0,1884.0,425.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-04,853.0,1931.0,414.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-05,857.0,1935.0,416.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-06,744.0,1965.0,371.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-07,785.0,1918.0,385.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-08,765.0,1937.0,360.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-09,750.0,1951.0,353.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-10,814.0,1997.0,392.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-11,816.0,2003.0,393.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-12,836.0,2051.0,412.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-13,838.0,2057.0,412.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-14,837.0,2065.0,414.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-15,846.0,2087.0,421.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-16,850.0,2096.0,423.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-17,855.0,2106.0,425.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-18,859.0,2115.0,427.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-19,867.0,2123.0,427.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-20,873.0,2156.0,428.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-21,879.0,2185.0,431.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-22,882.0,2194.0,433.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-23,890.0,2189.0,438.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-24,900.0,2198.0,450.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-25,918.0,2211.0,461.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-26,870.0,2203.0,437.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-27,872.0,2212.0,438.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-28,884.0,2250.0,441.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-29,901.0,2263.0,448.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-30,913.0,2259.0,453.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-03-31,900.0,2251.0,443.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-01,904.0,2261.0,444.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-02,907.0,2270.0,446.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-03,912.0,2280.0,448.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-04,912.0,2299.0,452.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-05,919.0,2300.0,453.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-06,913.0,2325.0,448.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-07,915.0,2334.0,449.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-08,917.0,2386.0,447.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-09,920.0,2397.0,448.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-10,893.0,2395.0,436.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-11,940.0,2444.0,457.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-12,941.0,2447.0,457.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-13,929.0,2436.0,452.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-14,930.0,2443.0,453.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-15,912.0,2486.0,444.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-16,916.0,2486.0,443.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-17,918.0,2492.0,444.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-18,929.0,2507.0,479.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-19,931.0,2513.0,481.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-20,917.0,2524.0,470.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-21,918.0,2530.0,471.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-22,951.0,2571.0,487.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-23,952.0,2578.0,489.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-24,954.0,2584.0,490.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-25,955.0,2590.0,491.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-26,981.0,2629.0,514.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-27,978.0,2655.0,517.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-28,976.0,2611.0,514.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-29,925.0,2471.0,476.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-04-30,925.0,2469.0,476.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-01,906.0,2421.0,460.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-02,906.0,2419.0,460.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-03,906.0,2417.0,459.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-04,867.0,2485.0,406.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-05,829.0,2558.0,393.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-06,818.0,2551.0,386.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-07,807.0,2579.0,382.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-08,721.0,2683.0,342.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-09,709.0,2729.0,336.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-10,687.0,2845.0,330.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-11,708.0,2872.0,337.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-12,733.0,2912.0,351.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-13,759.0,2923.0,363.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-14,754.0,2904.0,359.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-15,764.0,3018.0,365.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-16,766.0,3028.0,366.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-17,772.0,3125.0,372.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-18,776.0,3129.0,374.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-19,781.0,3130.0,376.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-20,776.0,3163.0,378.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-21,788.0,3183.0,382.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-22,790.0,3186.0,382.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-23,796.0,3189.0,385.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-24,824.0,3209.0,397.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-25,836.0,3209.0,403.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-26,836.0,3191.0,401.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-27,825.0,3148.0,402.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-28,789.0,3149.0,380.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-29,722.0,3251.0,351.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-30,701.0,3273.0,343.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-05-31,680.0,3392.0,319.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-01,640.0,3471.0,305.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-02,577.0,3548.0,270.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-03,642.0,3491.0,282.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-04,643.0,3500.0,281.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-05,645.0,3509.0,281.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-06,672.0,3565.0,301.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-07,654.0,3617.0,298.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-08,653.0,3616.0,299.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-09,660.0,3617.0,308.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-10,661.0,3618.0,309.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-11,672.0,3716.0,311.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-12,672.0,3717.0,312.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-13,682.0,3712.0,323.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-14,675.0,3733.0,319.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-15,675.0,3734.0,319.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-16,690.0,3730.0,340.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-17,695.0,3731.0,342.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-18,674.0,3763.0,333.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-19,664.0,3787.0,332.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-20,637.0,3847.0,321.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-21,605.0,3907.0,306.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-22,577.0,3930.0,298.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-23,570.0,3910.0,293.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-24,576.0,3926.0,294.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-25,570.0,3935.0,285.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-26,568.0,3937.0,283.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-27,566.0,3938.0,282.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-28,565.0,3936.0,281.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-29,532.0,3967.0,264.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-06-30,494.0,3977.0,252.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-01,494.0,3974.0,252.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-02,472.0,3965.0,237.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-03,474.0,3961.0,239.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-04,458.0,3958.0,231.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-05,461.0,3908.0,232.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-06,456.0,3875.0,228.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-07,464.0,3816.0,231.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-08,462.0,3807.0,227.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-09,454.0,3806.0,228.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-10,450.0,3799.0,229.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-11,428.0,3794.0,222.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-12,429.0,3788.0,222.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-13,430.0,3784.0,223.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-14,431.0,3780.0,223.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-15,400.0,3820.0,210.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-16,414.0,3781.0,215.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-17,413.0,3781.0,215.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-18,436.0,3767.0,225.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-19,433.0,3775.0,224.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-20,455.0,3765.0,233.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-21,454.0,3766.0,231.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-22,462.0,3724.0,232.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-23,449.0,3715.0,225.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-24,449.0,3709.0,225.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-25,436.0,3716.0,217.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-26,435.0,3710.0,217.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-27,439.0,3655.0,219.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-28,439.0,3648.0,219.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-29,438.0,3642.0,219.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-30,419.0,3615.0,212.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-07-31,441.0,3552.0,222.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-01,436.0,3525.0,220.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-02,435.0,3522.0,220.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-03,427.0,3517.0,217.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-04,426.0,3516.0,216.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-05,424.0,3515.0,216.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-06,423.0,3515.0,215.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-07,408.0,3528.0,211.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-08,415.0,3515.0,215.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-09,404.0,3518.0,211.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-10,397.0,3584.0,199.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-11,397.0,3589.0,199.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-12,379.0,3503.0,184.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-13,376.0,3495.0,183.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-14,371.0,3525.0,180.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-15,378.0,3472.0,184.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-16,360.0,3434.0,170.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-17,336.0,3389.0,158.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-18,337.0,3425.0,160.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-19,356.0,3429.0,174.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-20,355.0,3426.0,174.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-21,355.0,3424.0,175.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-22,354.0,3406.0,173.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-23,349.0,3401.0,161.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-24,356.0,3364.0,166.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-25,365.0,3356.0,171.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-26,371.0,3273.0,182.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-27,372.0,3254.0,179.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-28,377.0,3353.0,181.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-29,368.0,3388.0,178.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-30,371.0,3358.0,181.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-08-31,368.0,3335.0,177.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-09-01,372.0,3336.0,180.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-09-02,376.0,3362.0,188.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-09-03,379.0,3339.0,190.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-09-04,345.0,3305.0,162.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-09-05,338.0,3339.0,161.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-09-06,351.0,3266.0,173.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-09-07,354.0,3248.0,177.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-09-08,370.0,3175.0,188.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-09-09,388.0,3116.0,197.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-09-10,379.0,2993.0,190.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-09-11,379.0,2990.0,191.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-09-12,377.0,3032.0,209.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-09-13,377.0,3027.0,209.0,MODIS/006/MCD43A4
-80.55866889162839,42.65874705462578,2012-09-14,387.0,3055.0,195.0,MODIS/006/MCD43A4
