longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-97.29428263477507,30.616830671003594,2018-01-01,1056.0,2018.0,555.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-02,1052.0,1990.0,555.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-03,1067.0,2013.0,566.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-04,1066.0,2013.0,565.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-05,1060.0,2058.0,564.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-06,1027.0,1949.0,544.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-07,1028.0,1923.0,544.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-08,1028.0,1920.0,544.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-09,1028.0,1918.0,544.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-10,1039.0,1916.0,552.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-11,1040.0,1917.0,553.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-12,1025.0,1859.0,545.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-13,1028.0,1859.0,546.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-14,1030.0,1860.0,547.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-15,1029.0,1850.0,546.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-16,987.0,1887.0,525.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-17,1001.0,1892.0,533.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-18,1000.0,1903.0,533.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-19,1000.0,1904.0,533.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-20,1000.0,1906.0,532.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-21,1005.0,1871.0,536.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-22,1002.0,1870.0,535.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-23,1002.0,1876.0,536.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-24,1011.0,1879.0,540.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-25,1011.0,1877.0,540.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-26,995.0,1858.0,532.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-27,994.0,1856.0,532.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-28,992.0,1887.0,537.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-29,992.0,1888.0,538.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-30,993.0,1889.0,538.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-01-31,994.0,1892.0,539.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-01,1004.0,1874.0,544.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-02,993.0,1878.0,542.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-03,987.0,1889.0,540.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-04,988.0,1892.0,541.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-05,987.0,1892.0,541.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-06,1010.0,1945.0,555.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-07,1025.0,1958.0,568.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-08,1042.0,2025.0,584.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-09,1037.0,2049.0,588.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-10,1037.0,2049.0,588.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-11,1037.0,2049.0,588.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-12,1038.0,2050.0,588.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-13,,,,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-14,,,,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-15,,,,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-16,,,,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-17,,,,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-18,,,,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-19,,,,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-20,,,,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-21,,,,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-22,,,,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-23,,,,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-24,,,,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-25,,,,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-26,,,,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-27,,,,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-02-28,787.0,1842.0,427.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-03-01,787.0,1843.0,427.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-03-02,788.0,1844.0,427.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-03-03,799.0,1860.0,435.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-03-04,800.0,1861.0,435.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-03-05,794.0,1932.0,429.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-03-06,832.0,1936.0,446.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-03-07,835.0,1939.0,448.0,MODIS/006/MCD43A4
-97.29428263477507,30.616830671003594,2018-03-08,837.0,1944.0,449.0,MODIS/006/MCD43A4
